Execution of the code with theses parameters
On this image bro 5b.png
generations : 500
generations2 :0
population_size :200
seed : 69
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.599956	0.00972765 	0.629969
1  	197   	0.630643	0.0035669  	0.658634
2  	197   	0.658781	0.0013782  	0.67458 
3  	197   	0.674617	0.00134172 	0.68347 
4  	197   	0.683563	0.00124356 	0.692279
5  	197   	0.692388	0.00125695 	0.706424
6  	197   	0.706383	0.000868529	0.708516
7  	197   	0.708584	0.000601459	0.71537 
8  	197   	0.715289	0.000582282	0.718835
9  	197   	0.718804	0.000601708	0.723693
10 	197   	0.723558	0.000623291	0.725454
11 	197   	0.72544 	0.000334059	0.727271
12 	197   	0.72725 	0.000403303	0.730603
13 	197   	0.730491	0.000720824	0.731522
14 	197   	0.731445	0.000621773	0.733333
15 	197   	0.733247	0.00048623 	0.734636
16 	197   	0.734511	0.00067741 	0.735782
17 	197   	0.735694	0.000720794	0.737954
18 	197   	0.737803	0.000801759	0.740545
19 	197   	0.740395	0.000691284	0.74098 
20 	197   	0.740906	0.000642215	0.744503
21 	197   	0.744427	0.000604182	0.747152
22 	197   	0.747001	0.000911178	0.749064
23 	197   	0.748896	0.000849406	0.749777
24 	197   	0.749675	0.00073304 	0.753331
25 	197   	0.753231	0.000627789	0.755323
26 	197   	0.755197	0.000638127	0.756834
27 	197   	0.75658 	0.0013718  	0.76088 
28 	197   	0.760571	0.00138797 	0.762235
29 	197   	0.762062	0.000694655	0.762642
30 	197   	0.76247 	0.000713241	0.763435
31 	197   	0.763211	0.00122898 	0.765694
32 	197   	0.765488	0.000930183	0.766262
33 	197   	0.766104	0.000781093	0.767574
34 	197   	0.767321	0.00104101 	0.768451
35 	197   	0.768318	0.000861676	0.769639
36 	197   	0.769339	0.00151192 	0.771346
37 	197   	0.77107 	0.00115932 	0.772666
38 	197   	0.772182	0.00194448 	0.773691
39 	197   	0.773441	0.001283   	0.77453 
40 	197   	0.774048	0.00169647 	0.775071
41 	197   	0.774932	0.00100933 	0.777882
42 	197   	0.777619	0.00117879 	0.778675
43 	197   	0.778518	0.000940879	0.779104
44 	197   	0.778932	0.00131503 	0.780841
45 	197   	0.780324	0.00242983 	0.782603
46 	197   	0.782364	0.00135734 	0.784024
47 	197   	0.783754	0.00163235 	0.789214
48 	197   	0.788809	0.00166822 	0.789533
49 	197   	0.789246	0.00113391 	0.791347
50 	197   	0.79106 	0.00136724 	0.792076
51 	197   	0.791803	0.0011535  	0.793493
52 	197   	0.793266	0.0011588  	0.794636
53 	197   	0.794271	0.00182949 	0.79646 
54 	197   	0.796085	0.00151041 	0.797839
55 	197   	0.797534	0.00120344 	0.798151
56 	197   	0.797705	0.00247714 	0.798802
57 	197   	0.798422	0.00169944 	0.800491
58 	197   	0.800302	0.000904232	0.801109
59 	197   	0.800696	0.00174531 	0.802403
60 	197   	0.802014	0.00163623 	0.80314 
61 	197   	0.802796	0.00144772 	0.80436 
62 	197   	0.803983	0.00168718 	0.80493 
63 	197   	0.804723	0.000865708	0.805615
64 	197   	0.805246	0.00178361 	0.80671 
65 	197   	0.806347	0.00146184 	0.807137
66 	197   	0.806768	0.00173124 	0.807824
67 	197   	0.807554	0.00114912 	0.808624
68 	197   	0.808127	0.0022553  	0.809558
69 	197   	0.809291	0.00147184 	0.809873
70 	197   	0.809315	0.00230879 	0.809979
71 	197   	0.809562	0.0014593  	0.810299
72 	197   	0.81012 	0.00102697 	0.81079 
73 	197   	0.810311	0.00188379 	0.811932
74 	197   	0.811525	0.0018595  	0.81231 
75 	197   	0.811744	0.00234347 	0.813175
76 	197   	0.812789	0.00186179 	0.813553
77 	197   	0.813254	0.00110284 	0.813762
78 	197   	0.813337	0.00167202 	0.813826
79 	197   	0.813386	0.00204473 	0.814106
80 	197   	0.813897	0.00119659 	0.814595
81 	197   	0.814276	0.00154938 	0.81497 
82 	197   	0.814586	0.00171825 	0.816047
83 	197   	0.815765	0.0011753  	0.816429
84 	197   	0.815988	0.00206193 	0.816723
85 	197   	0.816288	0.00167526 	0.817069
86 	197   	0.816568	0.00197802 	0.817392
87 	197   	0.816884	0.0024127  	0.817663
88 	197   	0.816898	0.00291146 	0.81796 
89 	197   	0.817561	0.0018551  	0.818637
90 	197   	0.818378	0.00108229 	0.819745
91 	197   	0.819294	0.00203425 	0.821076
92 	197   	0.820826	0.00125156 	0.821458
93 	197   	0.820983	0.00227803 	0.821974
94 	197   	0.821571	0.00157565 	0.82255 
95 	197   	0.822167	0.00189007 	0.823541
96 	197   	0.822581	0.00375566 	0.823985
97 	197   	0.82362 	0.00152774 	0.824209
98 	197   	0.823871	0.00177334 	0.824846
99 	197   	0.824393	0.0019448  	0.825308
100	197   	0.825015	0.00106507 	0.825445
101	197   	0.824988	0.00152322 	0.82604 
102	197   	0.825736	0.00130616 	0.826385
103	197   	0.82606 	0.00154685 	0.82708 
104	197   	0.826739	0.0017167  	0.827399
105	197   	0.827172	0.000895565	0.827863
106	197   	0.827479	0.00208705 	0.828422
107	197   	0.828004	0.00161792 	0.828593
108	197   	0.828411	0.000895691	0.829411
109	197   	0.82887 	0.00230954 	0.830042
110	197   	0.829694	0.00162264 	0.830259
111	197   	0.829931	0.0018348  	0.830778
112	197   	0.830371	0.00140565 	0.830917
113	197   	0.830584	0.0012564  	0.831563
114	197   	0.830917	0.0026622  	0.831797
115	197   	0.831272	0.00184673 	0.832051
116	197   	0.831349	0.00269674 	0.832854
117	197   	0.8323  	0.00220442 	0.833085
118	197   	0.832815	0.000904743	0.833554
119	197   	0.833106	0.00199938 	0.833923
120	197   	0.833417	0.00261222 	0.836099
121	197   	0.835546	0.00186465 	0.836281
122	197   	0.835772	0.00248202 	0.836484
123	197   	0.836055	0.00173974 	0.836754
124	197   	0.836383	0.00192731 	0.836845
125	197   	0.836282	0.00233166 	0.837801
126	197   	0.837152	0.00278591 	0.838231
127	197   	0.837715	0.00221906 	0.838386
128	197   	0.83818 	0.0010249  	0.839835
129	197   	0.839479	0.00228253 	0.840138
130	197   	0.839637	0.00216105 	0.840281
131	197   	0.839732	0.0021189  	0.84058 
132	197   	0.840124	0.00249769 	0.8408  
133	197   	0.840208	0.00222261 	0.840966
134	197   	0.840533	0.001537   	0.841546
135	197   	0.841109	0.00166649 	0.841967
136	197   	0.841375	0.00218161 	0.8426  
137	197   	0.84198 	0.00280937 	0.842751
138	197   	0.842317	0.00143826 	0.843869
139	197   	0.843672	0.000734706	0.844131
140	197   	0.843928	0.00113738 	0.845394
141	197   	0.845039	0.00127522 	0.846072
142	197   	0.845544	0.0018592  	0.847308
143	197   	0.847042	0.00128679 	0.849451
144	197   	0.848875	0.00226049 	0.84965 
145	197   	0.849153	0.00206582 	0.851065
146	197   	0.850682	0.00184968 	0.851335
147	197   	0.85095 	0.00156635 	0.851958
148	197   	0.851394	0.00223579 	0.852234
149	197   	0.851662	0.00231201 	0.852535
150	197   	0.852077	0.00154258 	0.853131
151	197   	0.852669	0.00210046 	0.853441
152	197   	0.853012	0.002047   	0.854009
153	197   	0.853532	0.0020996  	0.854101
154	197   	0.853611	0.00191315 	0.854663
155	197   	0.854196	0.00208274 	0.854924
156	197   	0.854311	0.00250828 	0.855211
157	197   	0.85498 	0.00125235 	0.855416
158	197   	0.854697	0.00284277 	0.855644
159	197   	0.85531 	0.00146323 	0.856045
160	197   	0.855788	0.00105919 	0.856731
161	197   	0.856487	0.00106552 	0.857159
162	197   	0.856759	0.00155651 	0.857808
163	197   	0.856727	0.00374808 	0.858119
164	197   	0.857985	0.000534331	0.85862 
165	197   	0.858273	0.00181078 	0.858815
166	197   	0.858407	0.00261757 	0.859278
167	197   	0.858993	0.000992809	0.859793
168	197   	0.859288	0.00212269 	0.860639
169	197   	0.860064	0.00211109 	0.861362
170	197   	0.860833	0.00230281 	0.861777
171	197   	0.861067	0.00301942 	0.862395
172	197   	0.861974	0.00198317 	0.862744
173	197   	0.862235	0.00232484 	0.863009
174	197   	0.862608	0.0020389  	0.863336
175	197   	0.862752	0.00210927 	0.863586
176	197   	0.862896	0.00327104 	0.86373 
177	197   	0.863135	0.00264305 	0.863807
178	197   	0.863351	0.00241934 	0.864358
179	197   	0.864069	0.000972272	0.864702
180	197   	0.863929	0.00333015 	0.865987
181	197   	0.865694	0.00135343 	0.866124
182	197   	0.865767	0.00126956 	0.866641
183	197   	0.86645 	0.000718242	0.867043
184	197   	0.866456	0.00290305 	0.867613
185	197   	0.867181	0.00204891 	0.867736
186	197   	0.867439	0.00130549 	0.867932
187	197   	0.86759 	0.0011931  	0.868319
188	197   	0.867857	0.00228422 	0.868644
189	197   	0.868262	0.00152311 	0.868854
190	197   	0.868347	0.00226246 	0.869432
191	197   	0.869012	0.00184143 	0.869582
192	197   	0.868922	0.00253542 	0.87005 
193	197   	0.869381	0.00283021 	0.87031 
194	197   	0.86967 	0.00239012 	0.870479
195	197   	0.86977 	0.00253048 	0.870527
196	197   	0.869785	0.00303804 	0.870854
197	197   	0.870444	0.00159875 	0.871419
198	197   	0.870517	0.00307815 	0.872065
199	197   	0.871215	0.00354787 	0.872486
200	197   	0.872106	0.00140607 	0.872705
201	197   	0.872105	0.00215019 	0.873317
202	197   	0.87294 	0.0017951  	0.873382
203	197   	0.872742	0.00264826 	0.873537
204	197   	0.873152	0.00157456 	0.87378 
205	197   	0.873239	0.00213091 	0.874105
206	197   	0.873672	0.00158904 	0.874178
207	197   	0.873587	0.00261495 	0.874355
208	197   	0.873966	0.00140503 	0.874509
209	197   	0.873981	0.00202546 	0.874699
210	197   	0.874265	0.0018932  	0.875681
211	197   	0.875225	0.00189777 	0.875745
212	197   	0.874999	0.00308847 	0.876056
213	197   	0.875533	0.00248405 	0.876162
214	197   	0.875898	0.0012159  	0.876376
215	197   	0.876039	0.0017117  	0.876509
216	197   	0.876171	0.00138581 	0.876809
217	197   	0.876368	0.00184988 	0.876977
218	197   	0.876081	0.00373649 	0.877292
219	197   	0.876688	0.00232097 	0.877587
220	197   	0.876945	0.00249047 	0.878226
221	197   	0.877771	0.0018814  	0.878274
222	197   	0.877889	0.00163104 	0.878372
223	197   	0.877543	0.00336334 	0.878651
224	197   	0.878344	0.00108151 	0.878726
225	197   	0.87828 	0.00167929 	0.878977
226	197   	0.878219	0.00259366 	0.879273
227	197   	0.878499	0.00295839 	0.879506
228	197   	0.879016	0.00213181 	0.879628
229	197   	0.878931	0.00284752 	0.880247
230	197   	0.879623	0.00310545 	0.880395
231	197   	0.880151	0.00132021 	0.880668
232	197   	0.880242	0.00159227 	0.88123 
233	197   	0.880755	0.00165555 	0.881492
234	197   	0.88106 	0.00190159 	0.881547
235	197   	0.881252	0.00141034 	0.881836
236	197   	0.881339	0.00305254 	0.882012
237	197   	0.881398	0.00243393 	0.882261
238	197   	0.881876	0.00204635 	0.88251 
239	197   	0.882195	0.00149782 	0.88263 
240	197   	0.882003	0.00273753 	0.88277 
241	197   	0.882134	0.00278374 	0.883135
242	197   	0.882648	0.0016763  	0.883482
243	197   	0.882941	0.00218354 	0.883614
244	197   	0.88299 	0.00240265 	0.883752
245	197   	0.883596	0.00114358 	0.883893
246	197   	0.883059	0.0027605  	0.88418 
247	197   	0.883747	0.00154082 	0.884345
248	197   	0.883612	0.00356886 	0.884646
249	197   	0.884423	0.00138503 	0.884754
250	197   	0.884291	0.00214695 	0.884943
251	197   	0.884678	0.00109898 	0.885084
252	197   	0.88484 	0.000920416	0.88519 
253	197   	0.884671	0.00222154 	0.8855  
254	197   	0.885064	0.00188537 	0.885581
255	197   	0.884927	0.00282398 	0.885887
256	197   	0.885538	0.00164215 	0.886016
257	197   	0.8856  	0.00227841 	0.886353
258	197   	0.885902	0.00195657 	0.886572
259	197   	0.886098	0.00177023 	0.886699
260	197   	0.886342	0.00133921 	0.886794
261	197   	0.886397	0.00191587 	0.886907
262	197   	0.885934	0.00335434 	0.887854
263	197   	0.887315	0.00231303 	0.887926
264	197   	0.88712 	0.00307775 	0.88823 
265	197   	0.887718	0.00199893 	0.888679
266	197   	0.888167	0.00192674 	0.888779
267	197   	0.888249	0.0028316  	0.888866
268	197   	0.888345	0.00238548 	0.889503
269	197   	0.889138	0.00152106 	0.889772
270	197   	0.889122	0.00251079 	0.889895
271	197   	0.889091	0.00253152 	0.890773
272	197   	0.889908	0.00295878 	0.890903
273	197   	0.890303	0.00276361 	0.891054
274	197   	0.890732	0.00137725 	0.891246
275	197   	0.890811	0.00201443 	0.891393
276	197   	0.890593	0.0026715  	0.891698
277	197   	0.891207	0.00173683 	0.891873
278	197   	0.891452	0.0020009  	0.892037
279	197   	0.891705	0.00160665 	0.892145
280	197   	0.891833	0.0013525  	0.892324
281	197   	0.891631	0.0026539  	0.892356
282	197   	0.891354	0.00387582 	0.892624
283	197   	0.892082	0.00203408 	0.892716
284	197   	0.89226 	0.00185204 	0.892937
285	197   	0.892489	0.00195279 	0.893044
286	197   	0.892703	0.00136623 	0.893156
287	197   	0.892384	0.00285826 	0.893215
288	197   	0.892737	0.00196655 	0.893351
289	197   	0.892971	0.00150494 	0.893574
290	197   	0.892786	0.00258789 	0.894382
291	197   	0.893936	0.00177158 	0.894422
292	197   	0.893779	0.0026416  	0.894623
293	197   	0.894077	0.00260889 	0.895828
294	197   	0.895159	0.00261752 	0.896116
295	197   	0.895789	0.00170083 	0.896362
296	197   	0.89587 	0.00244636 	0.897019
297	197   	0.896545	0.0018331  	0.897395
298	197   	0.896913	0.00172968 	0.897704
299	197   	0.897314	0.00160979 	0.89788 
300	197   	0.897292	0.00288213 	0.897975
301	197   	0.897495	0.00161838 	0.898077
302	197   	0.897472	0.00236503 	0.89828 
303	197   	0.897844	0.00159469 	0.898477
304	197   	0.897766	0.0030083  	0.898672
305	197   	0.898051	0.00283969 	0.898764
306	197   	0.898373	0.00191008 	0.89939 
307	197   	0.89891 	0.00196508 	0.899445
308	197   	0.898912	0.00247834 	0.899555
309	197   	0.898925	0.00237193 	0.899825
310	197   	0.899261	0.00196915 	0.90027 
311	197   	0.899907	0.0015077  	0.900436
312	197   	0.89989 	0.00236942 	0.90062 
313	197   	0.900108	0.00289576 	0.90089 
314	197   	0.900625	0.00109643 	0.901147
315	197   	0.900633	0.002341   	0.901327
316	197   	0.900474	0.00382236 	0.901497
317	197   	0.90096 	0.00257648 	0.901716
318	197   	0.90101 	0.00264305 	0.901791
319	197   	0.90117 	0.00213194 	0.902005
320	197   	0.901358	0.00268316 	0.902188
321	197   	0.90134 	0.0040124  	0.902337
322	197   	0.901859	0.00220083 	0.902871
323	197   	0.902193	0.00278802 	0.902998
324	197   	0.902283	0.00238927 	0.903131
325	197   	0.902598	0.00194313 	0.903314
326	197   	0.902586	0.00300364 	0.903458
327	197   	0.902839	0.00325071 	0.903542
328	197   	0.902915	0.00289533 	0.903699
329	197   	0.903312	0.00159408 	0.903776
330	197   	0.903487	0.00100802 	0.903975
331	197   	0.903326	0.0027087  	0.904091
332	197   	0.903494	0.00259163 	0.904334
333	197   	0.903775	0.00227835 	0.904436
334	197   	0.904031	0.00220833 	0.904464
335	197   	0.90409 	0.00133186 	0.904589
336	197   	0.904199	0.001394   	0.904678
337	197   	0.90391 	0.0031751  	0.904764
338	197   	0.904046	0.00346891 	0.904897
339	197   	0.904269	0.00226636 	0.904955
340	197   	0.90467 	0.00121824 	0.90508 
341	197   	0.904419	0.0027888  	0.905241
342	197   	0.904556	0.00255636 	0.905384
343	197   	0.904982	0.00173735 	0.905483
344	197   	0.904797	0.00339714 	0.905853
345	197   	0.905372	0.00157045 	0.905871
346	197   	0.905318	0.0024134  	0.906049
347	197   	0.905253	0.00301028 	0.906321
348	197   	0.905546	0.00347709 	0.906446
349	197   	0.906018	0.00189059 	0.906509
350	197   	0.905759	0.00266925 	0.906611
351	197   	0.906064	0.00223581 	0.906727
352	197   	0.906361	0.0015666  	0.906803
353	197   	0.906366	0.00173124 	0.907256
354	197   	0.906809	0.00129685 	0.907339
355	197   	0.906959	0.00129569 	0.907425
356	197   	0.907087	0.00148648 	0.908021
357	197   	0.907468	0.00201213 	0.908243
358	197   	0.907771	0.00204761 	0.908368
359	197   	0.907996	0.00171002 	0.908558
360	197   	0.907899	0.00295492 	0.908668
361	197   	0.907749	0.00369663 	0.908771
362	197   	0.908125	0.00227791 	0.908914
