Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 31
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.655797	0.00850642 	0.686437
1  	197   	0.686495	0.0016922  	0.701271
2  	197   	0.701385	0.00125745 	0.708415
3  	197   	0.708731	0.0017628  	0.723499
4  	197   	0.723569	0.000973234	0.730403
5  	197   	0.730427	0.000667758	0.738448
6  	197   	0.738399	0.000821101	0.743013
7  	197   	0.74295 	0.000542335	0.744561
8  	197   	0.744543	0.00038306 	0.747158
9  	197   	0.747138	0.000772166	0.753134
10 	197   	0.753078	0.00055176 	0.756848
11 	197   	0.756698	0.000579188	0.757461
12 	197   	0.757412	0.000469125	0.761001
13 	197   	0.760946	0.00043805 	0.763078
14 	197   	0.762887	0.00086261 	0.765146
15 	197   	0.765017	0.000842761	0.767518
16 	197   	0.767318	0.000672178	0.767935
17 	197   	0.767811	0.000763775	0.768553
18 	197   	0.768449	0.000568488	0.769768
19 	197   	0.769662	0.000511708	0.77057 
20 	197   	0.770409	0.000923429	0.77161 
21 	197   	0.77149 	0.000587248	0.772145
22 	197   	0.772028	0.000527742	0.773147
23 	197   	0.772965	0.00128381 	0.774385
24 	197   	0.774281	0.000496488	0.774727
25 	197   	0.77457 	0.000722926	0.775261
26 	197   	0.775173	0.000416854	0.776147
27 	197   	0.776052	0.000533742	0.777602
28 	197   	0.777507	0.000532942	0.77919 
29 	197   	0.779073	0.000448991	0.779617
30 	197   	0.779516	0.000613896	0.779878
31 	197   	0.779644	0.000834054	0.780362
32 	197   	0.780148	0.00117063 	0.78153 
33 	197   	0.781358	0.000805811	0.782172
34 	197   	0.782102	0.000453413	0.783403
35 	197   	0.783256	0.000660278	0.783815
36 	197   	0.783657	0.000845661	0.784246
37 	197   	0.784131	0.000624387	0.78452 
38 	197   	0.784346	0.000701915	0.784906
39 	197   	0.784723	0.000867645	0.78516 
40 	197   	0.784935	0.000754487	0.785339
41 	197   	0.78509 	0.00102833 	0.78577 
42 	197   	0.785662	0.000661212	0.786446
43 	197   	0.786149	0.0013388  	0.787677
44 	197   	0.787563	0.000648351	0.788488
45 	197   	0.788252	0.00097831 	0.789037
46 	197   	0.788868	0.000953103	0.789665
47 	197   	0.789245	0.0015277  	0.78985 
48 	197   	0.789717	0.000553903	0.790285
49 	197   	0.790151	0.000558865	0.790472
50 	197   	0.790377	0.000551617	0.790851
51 	197   	0.790749	0.000430179	0.791352
52 	197   	0.791223	0.000589974	0.79225 
53 	197   	0.791889	0.00150326 	0.792888
54 	197   	0.79264 	0.00146956 	0.793121
55 	197   	0.792951	0.000751946	0.794793
56 	197   	0.794608	0.000813329	0.794995
57 	197   	0.794838	0.000737309	0.795179
58 	197   	0.795069	0.00060628 	0.796165
59 	197   	0.795989	0.000891291	0.796529
60 	197   	0.79638 	0.000628682	0.796888
61 	197   	0.796666	0.00134852 	0.797239
62 	197   	0.797121	0.000588164	0.797503
63 	197   	0.79724 	0.00102864 	0.797807
64 	197   	0.797599	0.00120059 	0.798124
65 	197   	0.797998	0.000605805	0.798582
66 	197   	0.798451	0.000566673	0.799221
67 	197   	0.799046	0.000840847	0.799892
68 	197   	0.799775	0.000502359	0.800481
69 	197   	0.800371	0.000484328	0.800837
70 	197   	0.800657	0.000747601	0.801069
71 	197   	0.800869	0.000849755	0.801177
72 	197   	0.801038	0.000748375	0.801854
73 	197   	0.801707	0.00082698 	0.802189
74 	197   	0.802087	0.000381999	0.802452
75 	197   	0.802304	0.000520983	0.802933
76 	197   	0.802683	0.00110118 	0.803397
77 	197   	0.803217	0.00068009 	0.8038  
78 	197   	0.803702	0.000336071	0.804059
79 	197   	0.803966	0.000489887	0.805963
80 	197   	0.805823	0.000499599	0.806476
81 	197   	0.806412	0.000334076	0.807597
82 	197   	0.807365	0.00092548 	0.807814
83 	197   	0.80767 	0.000694008	0.808044
84 	197   	0.807808	0.000865994	0.808666
85 	197   	0.808551	0.000535734	0.808903
86 	197   	0.808781	0.000571907	0.809847
87 	197   	0.80965 	0.00112964 	0.810006
88 	197   	0.809932	0.000299553	0.810176
89 	197   	0.810011	0.000994076	0.810852
90 	197   	0.81077 	0.000397908	0.811341
91 	197   	0.811141	0.000710028	0.811966
92 	197   	0.811812	0.000683837	0.812531
93 	197   	0.812322	0.000910572	0.812808
94 	197   	0.812663	0.00058696 	0.8131  
95 	197   	0.81288 	0.00101178 	0.813296
96 	197   	0.812961	0.00128698 	0.815024
97 	197   	0.814921	0.00050948 	0.815254
98 	197   	0.815044	0.000903896	0.81569 
99 	197   	0.815466	0.00106727 	0.815853
100	197   	0.815764	0.000348638	0.816038
101	197   	0.815905	0.000541569	0.816473
102	197   	0.816132	0.00119707 	0.816705
103	197   	0.816337	0.00141097 	0.817048
104	197   	0.816652	0.00144659 	0.81729 
105	197   	0.817116	0.00068671 	0.817401
106	197   	0.817251	0.000651049	0.817887
107	197   	0.817744	0.000632402	0.818043
108	197   	0.817833	0.00084684 	0.818209
109	197   	0.817987	0.000976281	0.820771
110	197   	0.820475	0.0010571  	0.820935
111	197   	0.820774	0.000829325	0.821148
112	197   	0.820896	0.00100716 	0.821794
113	197   	0.821618	0.0007405  	0.821864
114	197   	0.82168 	0.00076868 	0.822479
115	197   	0.822233	0.00103728 	0.822794
116	197   	0.822468	0.00141279 	0.823102
117	197   	0.822864	0.00101949 	0.823665
118	197   	0.823491	0.000818341	0.823816
119	197   	0.823478	0.00141291 	0.824134
120	197   	0.823986	0.000687229	0.82468 
121	197   	0.824557	0.000644144	0.824875
122	197   	0.824695	0.000697808	0.825094
123	197   	0.824809	0.00125342 	0.826046
124	197   	0.825764	0.00118698 	0.826096
125	197   	0.825896	0.000953827	0.826456
126	197   	0.82628 	0.000917671	0.826575
127	197   	0.826371	0.000799805	0.826696
128	197   	0.826453	0.00112765 	0.827155
129	197   	0.826836	0.00177233 	0.827262
130	197   	0.82707 	0.00070975 	0.827464
131	197   	0.827295	0.000822714	0.828268
132	197   	0.827997	0.00119168 	0.828445
133	197   	0.828294	0.000537897	0.828648
134	197   	0.828458	0.000827775	0.828849
135	197   	0.828575	0.0010515  	0.829078
136	197   	0.8289  	0.000864341	0.829657
137	197   	0.829451	0.000817237	0.829914
138	197   	0.829663	0.00108519 	0.830494
139	197   	0.830237	0.0010281  	0.830691
140	197   	0.830474	0.000806283	0.830911
141	197   	0.830545	0.00126516 	0.831557
