Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 69
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.6
shuffle :0.05
remove_poly :0.05
add_poly :0.1
change_cr :0.1
add_pt :0.1
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std       	max     
0  	200   	0.654768	0.0081898 	0.680611
1  	200   	0.656989	0.010846  	0.701445
2  	200   	0.658181	0.0118429 	0.702615
3  	200   	0.659076	0.0126007 	0.702615
4  	200   	0.660261	0.0132037 	0.70614 
5  	200   	0.661505	0.0139109 	0.70678 
6  	200   	0.662549	0.0144234 	0.717818
7  	200   	0.663436	0.0149997 	0.717823
8  	200   	0.664832	0.0157235 	0.718641
9  	200   	0.665927	0.0161484 	0.725261
10 	200   	0.667275	0.0170282 	0.725261
11 	200   	0.668361	0.01771   	0.730256
12 	200   	0.669371	0.0180861 	0.730256
13 	200   	0.670555	0.0180938 	0.730256
14 	200   	0.671668	0.0183043 	0.730256
15 	200   	0.672922	0.018509  	0.730417
16 	200   	0.673821	0.0187629 	0.730417
17 	200   	0.674668	0.0185525 	0.729712
18 	200   	0.676102	0.0185242 	0.729712
19 	200   	0.676703	0.018515  	0.73037 
20 	200   	0.677951	0.0185066 	0.730459
21 	200   	0.678899	0.0189117 	0.730313
22 	200   	0.680157	0.0186808 	0.730313
23 	200   	0.680799	0.0188164 	0.729517
24 	200   	0.68097 	0.0189471 	0.729017
25 	200   	0.682145	0.0190283 	0.729017
26 	200   	0.683694	0.0191775 	0.729017
27 	200   	0.685225	0.0194869 	0.729017
28 	200   	0.686483	0.0193828 	0.729148
29 	200   	0.687696	0.0191208 	0.7293  
30 	200   	0.688523	0.0193801 	0.729258
31 	200   	0.689092	0.0192968 	0.729728
32 	200   	0.689795	0.0193852 	0.729825
33 	200   	0.69039 	0.0193298 	0.729825
34 	200   	0.691087	0.0187615 	0.729825
35 	200   	0.692114	0.0188107 	0.729825
36 	200   	0.692732	0.0189745 	0.730084
37 	200   	0.69347 	0.0190746 	0.731135
38 	200   	0.69404 	0.0190935 	0.731066
39 	200   	0.694587	0.0189066 	0.731066
40 	200   	0.695402	0.0190221 	0.731066
41 	200   	0.696149	0.0189108 	0.731066
42 	200   	0.696767	0.0188784 	0.731066
43 	200   	0.697645	0.0186509 	0.731508
44 	200   	0.698223	0.0186643 	0.743465
45 	200   	0.698493	0.0186537 	0.743465
46 	200   	0.698849	0.0185437 	0.738626
47 	200   	0.699835	0.0184063 	0.738597
48 	200   	0.700394	0.0186578 	0.738779
49 	200   	0.700725	0.018591  	0.738771
50 	200   	0.700938	0.0186076 	0.738771
51 	200   	0.701574	0.0183342 	0.738771
52 	200   	0.702333	0.0181095 	0.738783
53 	200   	0.702728	0.0181108 	0.735912
54 	200   	0.703041	0.0183959 	0.738414
55 	200   	0.703562	0.0183676 	0.738414
56 	200   	0.703978	0.0182356 	0.738879
57 	200   	0.704497	0.0180239 	0.738879
58 	200   	0.705008	0.0179605 	0.73774 
59 	200   	0.705047	0.0180377 	0.73774 
60 	200   	0.705635	0.0179111 	0.73774 
61 	200   	0.706199	0.0179456 	0.739451
62 	200   	0.706808	0.0173668 	0.738693
63 	200   	0.706972	0.0173296 	0.738693
64 	200   	0.707651	0.0172291 	0.738666
65 	200   	0.7084  	0.0171102 	0.738666
66 	200   	0.708616	0.0170689 	0.739097
67 	200   	0.708952	0.0170337 	0.739121
68 	200   	0.709143	0.0168787 	0.739121
69 	200   	0.709437	0.0167497 	0.739121
70 	200   	0.709857	0.0167502 	0.743808
71 	200   	0.710459	0.0165995 	0.743808
72 	200   	0.711084	0.0164123 	0.743808
73 	200   	0.71143 	0.0165494 	0.743808
74 	200   	0.711694	0.0163198 	0.743808
75 	200   	0.711995	0.016164  	0.743808
76 	200   	0.712359	0.0162355 	0.743243
77 	200   	0.713046	0.0162175 	0.742924
78 	200   	0.713421	0.0163049 	0.743565
79 	200   	0.713608	0.0163279 	0.743565
80 	200   	0.713697	0.0164025 	0.74367 
81 	200   	0.714126	0.0162079 	0.74367 
82 	200   	0.714222	0.0162478 	0.743225
83 	200   	0.71438 	0.0163846 	0.743225
84 	200   	0.714564	0.0164129 	0.743225
85 	200   	0.714754	0.0164047 	0.749835
86 	200   	0.715154	0.0161393 	0.749835
87 	200   	0.71543 	0.0162722 	0.749015
88 	200   	0.715605	0.016334  	0.749015
89 	200   	0.715976	0.0161954 	0.749015
90 	200   	0.71622 	0.0162452 	0.749015
91 	200   	0.716433	0.0162833 	0.749015
92 	200   	0.716864	0.016319  	0.749701
93 	200   	0.717273	0.0160611 	0.749701
94 	200   	0.717513	0.0158747 	0.749782
95 	200   	0.717914	0.0156633 	0.749782
96 	200   	0.718205	0.0154228 	0.74973 
97 	200   	0.718452	0.0154872 	0.74973 
98 	200   	0.718696	0.0157392 	0.753404
99 	200   	0.719156	0.0154607 	0.753404
100	200   	0.719306	0.0155461 	0.753404
101	200   	0.719532	0.0156312 	0.753404
102	200   	0.719611	0.0155332 	0.753028
103	200   	0.719879	0.0155705 	0.753028
104	200   	0.720171	0.0155323 	0.753039
105	200   	0.720711	0.0153933 	0.753039
106	200   	0.72101 	0.0153785 	0.753039
107	200   	0.721209	0.0152967 	0.753029
108	200   	0.721423	0.0152988 	0.753029
109	200   	0.72171 	0.0151219 	0.753029
110	200   	0.721924	0.015112  	0.753029
111	200   	0.722125	0.0149928 	0.753983
112	200   	0.722469	0.0147464 	0.753983
113	200   	0.722684	0.0147609 	0.753983
114	200   	0.722884	0.0146842 	0.753556
115	200   	0.723009	0.0146464 	0.755853
116	200   	0.723207	0.0146166 	0.755872
117	200   	0.723775	0.0140989 	0.755872
118	200   	0.724291	0.0138341 	0.755779
119	200   	0.724544	0.0138659 	0.755894
120	200   	0.724843	0.0137933 	0.755894
121	200   	0.725035	0.0138436 	0.755904
122	200   	0.725254	0.0137234 	0.755904
123	200   	0.725425	0.0133609 	0.755904
124	200   	0.725534	0.0132671 	0.755904
125	200   	0.725621	0.0132762 	0.755904
126	200   	0.725757	0.0131832 	0.755901
127	200   	0.725915	0.0129895 	0.755154
128	200   	0.726135	0.0126976 	0.757275
129	200   	0.7262  	0.0126866 	0.755239
130	200   	0.726448	0.0125771 	0.755363
131	200   	0.726599	0.012626  	0.7561  
132	200   	0.726877	0.0124019 	0.75608 
133	200   	0.72696 	0.0123669 	0.75608 
134	200   	0.727135	0.012404  	0.75608 
135	200   	0.727166	0.0125032 	0.75705 
136	200   	0.727268	0.0124999 	0.75705 
137	200   	0.727448	0.0124567 	0.75705 
138	200   	0.727641	0.0124535 	0.75705 
139	200   	0.727711	0.0125595 	0.757989
140	200   	0.727725	0.0126211 	0.757989
141	200   	0.727899	0.0125157 	0.757989
142	200   	0.728207	0.012268  	0.757989
143	200   	0.72832 	0.012174  	0.757989
144	200   	0.728375	0.0121292 	0.757993
145	200   	0.728555	0.0121434 	0.760329
146	200   	0.728667	0.0119245 	0.760329
147	200   	0.728795	0.0119211 	0.760329
148	200   	0.729081	0.011913  	0.760204
149	200   	0.729218	0.0119396 	0.75934 
150	200   	0.729476	0.0118981 	0.75934 
151	200   	0.729449	0.0121456 	0.75934 
152	200   	0.729491	0.011951  	0.75934 
153	200   	0.729561	0.0119608 	0.75934 
154	200   	0.729732	0.0120227 	0.75934 
155	200   	0.729787	0.0121129 	0.758069
156	200   	0.729863	0.0121223 	0.758023
157	200   	0.72994 	0.0120469 	0.758023
158	200   	0.729963	0.011981  	0.758023
159	200   	0.730188	0.0118823 	0.758023
160	200   	0.730329	0.0119305 	0.757949
161	200   	0.730347	0.0119363 	0.757989
162	200   	0.730522	0.0120346 	0.757842
163	200   	0.730593	0.0121165 	0.758492
164	200   	0.730681	0.0120615 	0.758236
165	200   	0.730688	0.0119845 	0.758236
166	200   	0.73096 	0.0120192 	0.758439
167	200   	0.73104 	0.0118874 	0.758452
168	200   	0.73113 	0.0118968 	0.758462
169	200   	0.731304	0.0118759 	0.758462
170	200   	0.731307	0.0118958 	0.758473
171	200   	0.731381	0.0119328 	0.758475
172	200   	0.731427	0.0119268 	0.758475
173	200   	0.731554	0.0118702 	0.759177
174	200   	0.73168 	0.0117942 	0.759183
175	200   	0.73175 	0.0118102 	0.759183
176	200   	0.731848	0.011761  	0.759627
177	200   	0.732011	0.0117989 	0.761398
178	200   	0.732042	0.0117606 	0.761398
179	200   	0.732137	0.0116809 	0.759564
180	200   	0.732409	0.0116593 	0.759564
181	200   	0.732561	0.0115856 	0.759564
182	200   	0.732628	0.0115168 	0.760783
183	200   	0.732669	0.0114338 	0.763379
184	200   	0.732683	0.0113051 	0.763667
185	200   	0.732909	0.0114135 	0.764208
186	200   	0.73293 	0.0113277 	0.764111
187	200   	0.733047	0.0113078 	0.765427
188	200   	0.7331  	0.0113011 	0.765427
189	200   	0.733202	0.0112217 	0.765427
190	200   	0.733304	0.0111047 	0.765427
191	200   	0.733254	0.011209  	0.765427
192	200   	0.733543	0.0111325 	0.763153
193	200   	0.733735	0.011046  	0.762064
194	200   	0.733816	0.0110759 	0.762064
195	200   	0.734018	0.011011  	0.762295
196	200   	0.734154	0.010992  	0.762295
197	200   	0.734123	0.0110522 	0.762351
198	200   	0.734194	0.0111719 	0.76222 
199	200   	0.734301	0.0112469 	0.76222 
200	200   	0.734395	0.0111652 	0.76222 
201	200   	0.734521	0.0109855 	0.76222 
202	200   	0.73481 	0.0109872 	0.76222 
203	200   	0.735021	0.0109068 	0.76222 
204	200   	0.73511 	0.0109013 	0.762215
205	200   	0.735105	0.0108696 	0.762215
206	200   	0.735144	0.0107988 	0.762785
207	200   	0.735275	0.010736  	0.76279 
208	200   	0.735535	0.0108873 	0.763645
209	200   	0.735703	0.0109231 	0.763645
210	200   	0.735811	0.0109304 	0.763645
211	200   	0.73592 	0.0109606 	0.763558
212	200   	0.735922	0.0109155 	0.763558
213	200   	0.73596 	0.0107983 	0.76448 
214	200   	0.735988	0.0109535 	0.764484
215	200   	0.736031	0.0108887 	0.764458
216	200   	0.736108	0.0108807 	0.764482
217	200   	0.736093	0.0109026 	0.764482
218	200   	0.736149	0.0107995 	0.764482
219	200   	0.736302	0.0107787 	0.764482
220	200   	0.736301	0.0108073 	0.769182
221	200   	0.73631 	0.0107607 	0.769182
222	200   	0.736371	0.0107075 	0.769182
223	200   	0.736426	0.01061   	0.769182
224	200   	0.736435	0.010664  	0.769182
225	200   	0.736413	0.0106318 	0.772616
226	200   	0.736605	0.0107736 	0.772595
227	200   	0.736715	0.0109874 	0.772865
228	200   	0.736826	0.0109216 	0.772865
229	200   	0.736989	0.0110712 	0.772858
230	200   	0.736991	0.0111043 	0.772858
231	200   	0.737071	0.0111306 	0.770676
232	200   	0.736978	0.0111062 	0.770676
233	200   	0.737023	0.0111239 	0.770761
234	200   	0.737085	0.0111523 	0.770761
235	200   	0.737111	0.0110088 	0.770761
236	200   	0.737114	0.0109872 	0.770761
237	200   	0.737157	0.0109833 	0.770761
238	200   	0.737237	0.0110447 	0.770761
239	200   	0.737285	0.0111239 	0.770761
240	200   	0.737401	0.0111309 	0.768707
241	200   	0.737513	0.0112081 	0.768735
242	200   	0.737563	0.0111454 	0.768735
243	200   	0.737588	0.0111279 	0.768598
244	200   	0.737761	0.0110921 	0.768598
245	200   	0.73784 	0.0111811 	0.768598
246	200   	0.737891	0.0112181 	0.768597
247	200   	0.737932	0.0111159 	0.768597
248	200   	0.737938	0.0113508 	0.768597
249	200   	0.737909	0.0113144 	0.763195
250	200   	0.73804 	0.0113197 	0.763177
251	200   	0.738259	0.0112099 	0.76366 
252	200   	0.738169	0.0112391 	0.765125
253	200   	0.738134	0.0113036 	0.765229
254	200   	0.738186	0.0112422 	0.765227
255	200   	0.738351	0.0111663 	0.76759 
256	200   	0.738502	0.0110813 	0.76759 
257	200   	0.738547	0.0110016 	0.76759 
258	200   	0.738622	0.0110762 	0.76752 
259	200   	0.738724	0.0111291 	0.76752 
260	200   	0.738658	0.0111256 	0.765306
261	200   	0.738666	0.0111436 	0.765435
262	200   	0.738806	0.0111968 	0.765418
263	200   	0.738796	0.0112128 	0.765418
264	200   	0.738888	0.0112342 	0.765418
265	200   	0.738879	0.0112885 	0.765418
266	200   	0.738947	0.0112807 	0.765438
267	200   	0.739046	0.0113245 	0.765387
