Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 69
polygons :5
mutation_rate :0.6
mating_prob : 0.4
mutate_pt :0.8
shuffle :0.02
remove_poly :0.03
add_poly :0.05
change_cr :0.05
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.654768	0.0081898  	0.680611
1  	151   	0.680789	0.00129715 	0.696044
2  	148   	0.696175	0.00119628 	0.709579
3  	149   	0.709716	0.000910469	0.716832
4  	160   	0.716865	0.000699208	0.723911
5  	152   	0.723989	0.000720455	0.731164
6  	157   	0.731131	0.000792458	0.733418
7  	148   	0.733507	0.000503268	0.736572
8  	147   	0.73662 	0.000566163	0.742686
9  	151   	0.742661	0.000275987	0.744013
10 	140   	0.744045	0.000520745	0.748796
11 	159   	0.748713	0.000815731	0.752631
12 	159   	0.752599	0.000595512	0.75566 
13 	158   	0.755638	0.000611497	0.758624
14 	152   	0.758604	0.000293832	0.759097
15 	143   	0.75908 	0.000265106	0.760031
16 	155   	0.759981	0.000410976	0.761965
17 	158   	0.761897	0.000464571	0.762637
18 	146   	0.762645	0.000207279	0.764382
19 	153   	0.764316	0.000425353	0.765171
20 	142   	0.765149	0.000120795	0.765466
21 	145   	0.765433	0.000417472	0.766228
22 	160   	0.766159	0.00061321 	0.766592
23 	157   	0.766527	0.00056373 	0.76971 
24 	167   	0.769691	0.000336005	0.770217
25 	148   	0.770192	0.000351295	0.771257
26 	148   	0.771169	0.000597782	0.772123
27 	159   	0.772022	0.00051057 	0.772575
28 	155   	0.772513	0.000533987	0.773916
29 	159   	0.773854	0.000684582	0.775206
30 	145   	0.775159	0.000283091	0.775971
31 	142   	0.77593 	0.000346697	0.777007
32 	147   	0.77691 	0.000736985	0.777476
33 	142   	0.777431	0.000366411	0.777817
34 	157   	0.777786	0.000330063	0.779438
35 	167   	0.779327	0.000647219	0.780721
36 	142   	0.780652	0.000358595	0.781452
37 	159   	0.781361	0.000613064	0.782113
38 	162   	0.782068	0.000336615	0.782542
