Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 21
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.6
shuffle :0.05
remove_poly :0.05
add_poly :0.1
change_cr :0.1
add_pt :0.1
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.656852	0.00848322 	0.691552
1  	200   	0.691782	0.00275701 	0.704522
2  	200   	0.704742	0.00256204 	0.726131
3  	200   	0.726216	0.00110182 	0.736509
4  	200   	0.736488	0.000709716	0.740965
5  	200   	0.740955	0.000480983	0.743975
6  	200   	0.743902	0.000479212	0.74636 
7  	200   	0.746376	0.000776747	0.755664
8  	200   	0.755582	0.000861097	0.762433
9  	200   	0.762181	0.00116283 	0.764196
10 	200   	0.764043	0.000810929	0.766383
11 	200   	0.766067	0.00135484 	0.76805 
12 	200   	0.767851	0.00113098 	0.76959 
13 	200   	0.769361	0.000980392	0.772221
14 	200   	0.771904	0.00143549 	0.773916
15 	200   	0.773727	0.000879764	0.775725
16 	200   	0.775462	0.00100975 	0.776389
17 	200   	0.776186	0.000781313	0.777126
18 	200   	0.776951	0.000823217	0.778124
19 	200   	0.777919	0.000744587	0.778788
20 	200   	0.778686	0.00056686 	0.780094
21 	200   	0.77995 	0.00072478 	0.78061 
22 	200   	0.780524	0.000496347	0.781687
23 	200   	0.781514	0.000876963	0.782485
24 	200   	0.78224 	0.000986813	0.783605
25 	200   	0.783364	0.000985238	0.784086
26 	200   	0.78384 	0.000795836	0.784864
27 	200   	0.784737	0.000529391	0.785625
28 	200   	0.785388	0.000760267	0.786829
29 	200   	0.786595	0.0008156  	0.787618
30 	200   	0.787282	0.00116662 	0.787944
31 	200   	0.78773 	0.000852968	0.789146
32 	200   	0.78884 	0.00102458 	0.789687
33 	200   	0.789404	0.000959994	0.78991 
34 	200   	0.789633	0.00130801 	0.790496
35 	200   	0.790098	0.00137269 	0.79125 
36 	200   	0.790974	0.00101764 	0.791445
37 	200   	0.79092 	0.00175674 	0.792105
38 	200   	0.791738	0.00119507 	0.792901
39 	200   	0.792642	0.000882675	0.793307
40 	200   	0.793069	0.000699733	0.793426
41 	200   	0.79322 	0.000806135	0.795308
42 	200   	0.794959	0.0012432  	0.795781
43 	200   	0.79541 	0.00151072 	0.796615
44 	200   	0.796229	0.00109002 	0.796763
45 	200   	0.796454	0.0012629  	0.797786
46 	200   	0.797619	0.000622396	0.79812 
47 	200   	0.797789	0.00124869 	0.798246
48 	200   	0.797815	0.00122902 	0.798592
49 	200   	0.798168	0.00177721 	0.799132
50 	200   	0.798761	0.00144129 	0.799574
51 	200   	0.799347	0.000865915	0.80006 
52 	200   	0.799794	0.000660325	0.80092 
53 	200   	0.800534	0.00120981 	0.80111 
54 	200   	0.800817	0.00114349 	0.801918
55 	200   	0.8016  	0.00094474 	0.802277
56 	200   	0.801883	0.00142233 	0.802841
57 	200   	0.802235	0.00173355 	0.802934
58 	200   	0.802571	0.00114852 	0.803017
59 	200   	0.802554	0.00141339 	0.803328
60 	200   	0.802988	0.00112076 	0.803657
61 	200   	0.803221	0.00143345 	0.803834
62 	200   	0.80348 	0.00112352 	0.804282
63 	200   	0.803949	0.00112595 	0.804794
64 	200   	0.804399	0.00142592 	0.805074
65 	200   	0.804639	0.00123099 	0.805763
66 	200   	0.805393	0.00141836 	0.8059  
67 	200   	0.805521	0.00176624 	0.806673
68 	200   	0.806286	0.0011889  	0.807161
69 	200   	0.806868	0.00105015 	0.808237
70 	200   	0.808024	0.000900551	0.808853
71 	200   	0.808555	0.0010155  	0.809093
72 	200   	0.808781	0.00110715 	0.810116
73 	200   	0.809832	0.000972783	0.81024 
74 	200   	0.809646	0.00158582 	0.810421
75 	200   	0.810157	0.00100574 	0.810481
76 	200   	0.810239	0.000693985	0.811061
77 	200   	0.810855	0.000741224	0.812051
78 	200   	0.811617	0.00157291 	0.812368
79 	200   	0.811853	0.0018305  	0.812508
80 	200   	0.812127	0.00124325 	0.812773
81 	200   	0.812393	0.00133687 	0.812999
82 	200   	0.812685	0.00117195 	0.813162
83 	200   	0.812834	0.00123233 	0.813694
84 	200   	0.81317 	0.00157369 	0.813792
85 	200   	0.813433	0.00126052 	0.814591
86 	200   	0.814109	0.00157173 	0.814811
87 	200   	0.814346	0.00158415 	0.814963
88 	200   	0.814591	0.00138661 	0.815416
89 	200   	0.814972	0.00169946 	0.815678
90 	200   	0.815386	0.000991225	0.815865
91 	200   	0.815282	0.00170189 	0.815931
92 	200   	0.815541	0.00162896 	0.816065
93 	200   	0.815674	0.00110328 	0.816734
94 	200   	0.816245	0.00176106 	0.816867
95 	200   	0.816716	0.000647551	0.817156
96 	200   	0.816714	0.00149323 	0.817565
97 	200   	0.817231	0.00109949 	0.818199
98 	200   	0.817843	0.00113381 	0.818559
99 	200   	0.818239	0.00100975 	0.818835
100	200   	0.818467	0.00118783 	0.819033
101	200   	0.818657	0.00126079 	0.819367
102	200   	0.818869	0.00158207 	0.819498
103	200   	0.819096	0.00128752 	0.819689
104	200   	0.81916 	0.00174524 	0.819949
105	200   	0.819493	0.0016175  	0.820097
106	200   	0.819739	0.0012074  	0.820256
107	200   	0.819891	0.0012028  	0.820587
108	200   	0.820073	0.00158533 	0.820773
109	200   	0.820147	0.00207837 	0.821956
110	200   	0.821505	0.00180165 	0.82213 
111	200   	0.821471	0.00184749 	0.822369
112	200   	0.82176 	0.00205743 	0.82249 
113	200   	0.822187	0.00090956 	0.822752
114	200   	0.822378	0.0013032  	0.822941
115	200   	0.822595	0.0011197  	0.82305 
116	200   	0.822853	0.000705403	0.824153
117	200   	0.823812	0.00107213 	0.824445
118	200   	0.824205	0.000716   	0.825839
119	200   	0.825356	0.00155658 	0.82663 
120	200   	0.826279	0.00131015 	0.826912
121	200   	0.826482	0.00159128 	0.82708 
122	200   	0.826457	0.00185162 	0.827462
123	200   	0.827008	0.00130298 	0.827933
124	200   	0.827342	0.00182156 	0.828683
125	200   	0.828115	0.00185949 	0.82897 
126	200   	0.828652	0.00115939 	0.8292  
127	200   	0.828671	0.00170692 	0.829813
128	200   	0.82933 	0.00167424 	0.830344
129	200   	0.82967 	0.00222363 	0.830565
130	200   	0.83004 	0.00136174 	0.830785
131	200   	0.830438	0.00120128 	0.830913
132	200   	0.830523	0.00138126 	0.831689
133	200   	0.831259	0.00138305 	0.831859
134	200   	0.831488	0.001268   	0.832024
135	200   	0.831475	0.00159781 	0.833178
136	200   	0.832522	0.00199586 	0.833489
137	200   	0.833092	0.00153818 	0.833639
138	200   	0.833157	0.00153491 	0.834099
139	200   	0.833785	0.000904481	0.834137
140	200   	0.833546	0.00209891 	0.834179
141	200   	0.833764	0.00139975 	0.834342
142	200   	0.833749	0.00171946 	0.834557
143	200   	0.83419 	0.00117634 	0.834688
144	200   	0.834325	0.00117182 	0.83525 
145	200   	0.834838	0.00124774 	0.835495
146	200   	0.834941	0.0016356  	0.83565 
147	200   	0.834949	0.00213299 	0.835741
148	200   	0.835292	0.00157528 	0.836273
149	200   	0.835713	0.0016928  	0.836488
150	200   	0.835954	0.00172528 	0.836562
151	200   	0.836003	0.00201696 	0.836932
152	200   	0.836539	0.00138637 	0.837064
153	200   	0.836488	0.00163918 	0.837179
154	200   	0.836792	0.00137369 	0.83729 
155	200   	0.836875	0.00118957 	0.837381
156	200   	0.836985	0.00134007 	0.837495
157	200   	0.836818	0.00222419 	0.837674
158	200   	0.836967	0.00207677 	0.837909
159	200   	0.837438	0.0014305  	0.838072
160	200   	0.837293	0.002563   	0.83828 
161	200   	0.837768	0.00139475 	0.838995
162	200   	0.83837 	0.00205549 	0.839269
163	200   	0.838879	0.00138198 	0.839776
164	200   	0.839257	0.00147051 	0.839953
165	200   	0.83935 	0.00207569 	0.840083
166	200   	0.83951 	0.00154267 	0.840249
167	200   	0.839641	0.00189292 	0.840384
168	200   	0.839776	0.00194803 	0.840653
169	200   	0.840117	0.00157731 	0.841028
170	200   	0.840619	0.00145242 	0.841195
171	200   	0.840679	0.00202187 	0.841404
172	200   	0.840791	0.00215449 	0.841569
173	200   	0.840778	0.00260644 	0.841767
174	200   	0.841362	0.00116174 	0.842031
175	200   	0.841459	0.00171059 	0.8421  
176	200   	0.841663	0.00169943 	0.842208
177	200   	0.841605	0.00176457 	0.842259
178	200   	0.841858	0.00176026 	0.842414
179	200   	0.841962	0.00142931 	0.842835
180	200   	0.84219 	0.00188956 	0.843287
181	200   	0.842716	0.00206337 	0.84338 
182	200   	0.842916	0.00154417 	0.843515
183	200   	0.843008	0.00201706 	0.84405 
184	200   	0.843439	0.00230732 	0.844402
185	200   	0.843843	0.00166609 	0.844712
186	200   	0.844099	0.00195084 	0.844742
187	200   	0.844263	0.00156101 	0.844786
188	200   	0.844492	0.00122069 	0.845335
189	200   	0.844597	0.00237605 	0.845376
190	200   	0.844766	0.0019438  	0.845609
191	200   	0.84496 	0.00207172 	0.845767
192	200   	0.845153	0.00174242 	0.845954
193	200   	0.845214	0.00213654 	0.846047
194	200   	0.845521	0.00163477 	0.846244
195	200   	0.845608	0.00186888 	0.846307
196	200   	0.845785	0.00159427 	0.846457
197	200   	0.845947	0.00177679 	0.846549
198	200   	0.846005	0.0018657  	0.846629
199	200   	0.846089	0.00153386 	0.846688
200	200   	0.846236	0.00159631 	0.846766
201	200   	0.846276	0.00169755 	0.84682 
202	200   	0.846249	0.00172764 	0.846912
203	200   	0.846345	0.00197446 	0.847014
204	200   	0.84633 	0.00216053 	0.847202
205	200   	0.846676	0.00166104 	0.847307
206	200   	0.846694	0.00189477 	0.847415
207	200   	0.846916	0.00176086 	0.847915
208	200   	0.847334	0.00190863 	0.848093
209	200   	0.847512	0.00175145 	0.849543
210	200   	0.848627	0.00239668 	0.84957 
211	200   	0.849149	0.00136269 	0.849837
212	200   	0.849194	0.00202874 	0.850042
213	200   	0.849602	0.00164783 	0.850179
214	200   	0.849591	0.00195461 	0.850254
215	200   	0.849654	0.00160921 	0.850332
216	200   	0.849768	0.00166131 	0.850427
217	200   	0.849923	0.00180953 	0.850681
218	200   	0.850074	0.00173395 	0.850871
219	200   	0.850635	0.000675428	0.851077
220	200   	0.850624	0.00133183 	0.851181
221	200   	0.850548	0.00197132 	0.851253
222	200   	0.850731	0.00182313 	0.851486
223	200   	0.850812	0.00223143 	0.851572
224	200   	0.850982	0.00215443 	0.851837
225	200   	0.851334	0.00161142 	0.852416
226	200   	0.851971	0.00131249 	0.852502
227	200   	0.85179 	0.00220251 	0.852567
228	200   	0.851851	0.00207134 	0.854286
229	200   	0.853816	0.00170863 	0.854359
230	200   	0.85365 	0.00225151 	0.85458 
231	200   	0.853971	0.00218297 	0.854731
232	200   	0.854133	0.0015175  	0.854795
233	200   	0.854241	0.00196692 	0.854866
234	200   	0.853966	0.0023291  	0.855196
235	200   	0.854951	0.000860765	0.855311
