Execution of the code with theses parameters
On this image bro 5a.png
generations : 500
generations2 :0
population_size :200
seed : 31
polygons :5
mutation_rate :0.6
mating_prob : 0.4
mutate_pt :0.8
shuffle :0.02
remove_poly :0.03
add_poly :0.05
change_cr :0.05
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.668774	0.0112802  	0.70807 
1  	156   	0.708458	0.00263945 	0.736973
2  	148   	0.737187	0.00173002 	0.755243
3  	151   	0.755272	0.000485443	0.758414
4  	152   	0.758408	0.000423561	0.761725
5  	151   	0.761776	0.000511533	0.767587
6  	146   	0.767608	0.00051229 	0.770909
7  	153   	0.770907	0.000273475	0.772903
8  	157   	0.772879	0.000423822	0.776277
9  	143   	0.776235	0.000688507	0.779558
10 	151   	0.77954 	0.000316461	0.781757
11 	160   	0.781697	0.000444744	0.782274
12 	143   	0.782273	0.000462686	0.785034
13 	164   	0.784979	0.000448688	0.785651
14 	135   	0.785671	0.000564013	0.792452
15 	144   	0.792409	0.000351238	0.793704
16 	159   	0.793604	0.000819693	0.796436
17 	149   	0.796329	0.00051486 	0.797515
18 	155   	0.797449	0.000732525	0.800517
19 	153   	0.800438	0.000619016	0.801488
20 	147   	0.801333	0.000873415	0.8022  
21 	154   	0.802154	0.000333675	0.804205
22 	146   	0.804105	0.000820914	0.804796
23 	151   	0.804639	0.00102479 	0.806521
24 	149   	0.806443	0.000636516	0.808027
25 	155   	0.807948	0.000462003	0.809204
26 	147   	0.80912 	0.000608834	0.809461
27 	154   	0.809344	0.000631628	0.809646
28 	157   	0.809546	0.000583356	0.81061 
29 	138   	0.810476	0.00096303 	0.811192
30 	149   	0.811088	0.000849384	0.811587
31 	155   	0.811449	0.00112277 	0.812595
32 	144   	0.812514	0.000610543	0.813357
33 	155   	0.813207	0.000955522	0.814013
34 	142   	0.813824	0.00115654 	0.814059
35 	156   	0.81393 	0.000727453	0.815142
36 	148   	0.814997	0.000867882	0.815701
37 	154   	0.815539	0.00106413 	0.816126
38 	157   	0.816007	0.00075463 	0.816738
39 	147   	0.816655	0.000606934	0.817462
40 	167   	0.81731 	0.000960461	0.818207
41 	136   	0.818128	0.000637371	0.8199  
42 	157   	0.819789	0.000788461	0.820463
43 	153   	0.820249	0.00188054 	0.82175 
44 	156   	0.821526	0.00130361 	0.822353
45 	157   	0.822218	0.000984954	0.822631
46 	149   	0.822565	0.000634234	0.823584
47 	148   	0.823417	0.00110481 	0.824103
48 	151   	0.824005	0.000936622	0.824512
49 	147   	0.824477	0.000251527	0.825566
50 	151   	0.82549 	0.000699014	0.82792 
51 	153   	0.827829	0.00071364 	0.828601
52 	155   	0.828438	0.00102979 	0.829811
53 	152   	0.829698	0.000623099	0.830359
54 	155   	0.830195	0.000910456	0.830749
55 	149   	0.830553	0.0012005  	0.830918
56 	144   	0.830855	0.000477002	0.831557
57 	146   	0.831406	0.00146062 	0.832231
58 	153   	0.832158	0.000634602	0.832457
59 	151   	0.832185	0.00151615 	0.832591
60 	141   	0.832517	0.000564226	0.833021
61 	152   	0.83297 	0.000653664	0.834751
62 	145   	0.83454 	0.00110399 	0.835061
63 	151   	0.834863	0.0013334  	0.835716
64 	158   	0.835659	0.000426807	0.836023
65 	159   	0.835901	0.000897231	0.836802
66 	149   	0.836626	0.00126102 	0.837559
67 	157   	0.83748 	0.00037765 	0.837915
68 	157   	0.83773 	0.000927233	0.839363
69 	150   	0.839225	0.00101068 	0.839758
70 	144   	0.839641	0.000905797	0.840172
71 	150   	0.840081	0.000598243	0.841463
72 	154   	0.841307	0.000979811	0.84186 
73 	154   	0.841729	0.000777731	0.842332
74 	154   	0.842234	0.000510312	0.842739
75 	157   	0.842608	0.000615949	0.843027
76 	153   	0.842884	0.000820734	0.843296
77 	147   	0.843094	0.00119557 	0.843792
78 	155   	0.84358 	0.00118982 	0.844606
79 	150   	0.844537	0.00046635 	0.845092
80 	143   	0.844953	0.00091149 	0.845393
81 	153   	0.845252	0.000935934	0.845846
82 	154   	0.845734	0.000779235	0.845938
83 	140   	0.845832	0.000587221	0.846978
84 	156   	0.846833	0.00106451 	0.847354
85 	143   	0.847288	0.000406512	0.847452
86 	151   	0.847341	0.000777406	0.849526
87 	143   	0.849361	0.00099609 	0.849615
88 	148   	0.849483	0.000788197	0.849762
89 	166   	0.849507	0.00126392 	0.849837
90 	142   	0.849737	0.000525731	0.850044
91 	149   	0.849881	0.00109796 	0.850343
92 	162   	0.8502  	0.00100088 	0.850654
93 	141   	0.85051 	0.00100158 	0.851526
94 	152   	0.851439	0.000537935	0.851918
95 	165   	0.85175 	0.00093219 	0.852195
96 	139   	0.852111	0.000570924	0.852484
97 	151   	0.852061	0.00187905 	0.852608
98 	145   	0.852367	0.00138951 	0.853226
99 	152   	0.852872	0.00170287 	0.853358
100	150   	0.853133	0.00127375 	0.853761
101	149   	0.853509	0.00151973 	0.853946
102	154   	0.853695	0.00176809 	0.854222
103	147   	0.854136	0.000489775	0.854786
104	146   	0.854608	0.00128261 	0.855163
105	156   	0.855029	0.000902748	0.855631
106	150   	0.85552 	0.000619979	0.855777
107	151   	0.85549 	0.00164022 	0.855907
108	140   	0.855621	0.0019193  	0.856542
