Execution of the code with theses parameters
On this image bro 5a.png
generations : 300
generations2 :200
population_size :200
seed : 21
polygons :5
mutation_rate :1
mating_prob : 0.1
mutate_pt :0.6
shuffle :0.05
remove_poly :0.05
add_poly :0.1
change_cr :0.1
add_pt :0.1
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.668533	0.00971905 	0.706042
1  	197   	0.706563	0.00474524 	0.740088
2  	197   	0.740458	0.00355855 	0.759654
3  	197   	0.75991 	0.00140169 	0.769881
4  	197   	0.770002	0.00112283 	0.778498
5  	197   	0.778392	0.000800765	0.783463
6  	197   	0.783363	0.00054532 	0.784831
7  	197   	0.784724	0.000782912	0.788779
8  	197   	0.788546	0.00121818 	0.792581
9  	197   	0.792372	0.00121983 	0.795011
10 	197   	0.79489 	0.000530161	0.795532
11 	197   	0.79534 	0.000902496	0.796372
12 	197   	0.796092	0.000798345	0.797033
13 	197   	0.796898	0.000791768	0.79985 
14 	197   	0.799648	0.000907748	0.801113
15 	197   	0.800909	0.000966193	0.802405
16 	197   	0.802146	0.00139215 	0.804781
17 	197   	0.804566	0.000807549	0.806879
18 	197   	0.80665 	0.00118936 	0.808704
19 	197   	0.808331	0.00125525 	0.810104
20 	197   	0.809804	0.000886208	0.810974
21 	197   	0.81079 	0.000847305	0.812375
22 	197   	0.812075	0.0011112  	0.813364
23 	197   	0.81301 	0.00127433 	0.814369
24 	197   	0.814006	0.00120685 	0.814658
25 	197   	0.814347	0.00121551 	0.815703
26 	197   	0.815324	0.00165859 	0.816259
27 	197   	0.815893	0.00127814 	0.816966
28 	197   	0.81671 	0.00121785 	0.817813
29 	197   	0.817354	0.00153363 	0.819519
30 	197   	0.819198	0.00120407 	0.821127
31 	197   	0.820575	0.00183816 	0.821697
32 	197   	0.821492	0.000992275	0.822352
33 	197   	0.822118	0.00114822 	0.82284 
