Execution of the code with theses parameters
On this image bro 5b.png
generations : 300
generations2 :200
population_size :200
seed : 31
polygons :5
mutation_rate :1
mating_prob : 0.1
mutate_pt :0.6
shuffle :0.05
remove_poly :0.05
add_poly :0.1
change_cr :0.1
add_pt :0.1
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.601485	0.0101803  	0.638509
1  	197   	0.638994	0.00386449 	0.663308
2  	197   	0.663649	0.0018704  	0.675858
3  	197   	0.676117	0.00167019 	0.686964
4  	197   	0.687453	0.00210917 	0.703557
5  	197   	0.703647	0.00130708 	0.71481 
6  	197   	0.714944	0.00131342 	0.72778 
7  	197   	0.727511	0.00162663 	0.735628
8  	197   	0.735229	0.00155866 	0.740348
9  	197   	0.740252	0.000898934	0.743389
10 	197   	0.74311 	0.00130763 	0.744652
11 	197   	0.744383	0.00133662 	0.746362
12 	197   	0.746078	0.00119245 	0.748521
13 	197   	0.74814 	0.0015727  	0.750011
14 	197   	0.749623	0.00133014 	0.751011
15 	197   	0.750574	0.00149618 	0.75301 
16 	197   	0.75275 	0.00125632 	0.754935
17 	197   	0.75456 	0.0016718  	0.757467
18 	197   	0.75721 	0.00122829 	0.758546
19 	197   	0.758033	0.00204747 	0.760973
20 	197   	0.760508	0.00185939 	0.763557
21 	197   	0.763045	0.00175136 	0.767047
22 	197   	0.766776	0.00106602 	0.767705
23 	197   	0.766945	0.00242712 	0.768873
24 	197   	0.768444	0.00148256 	0.769872
25 	197   	0.769459	0.0016736  	0.771398
26 	197   	0.770704	0.00225386 	0.772942
27 	197   	0.772467	0.00173138 	0.774765
28 	197   	0.774568	0.000805197	0.776887
29 	197   	0.775886	0.00287807 	0.777756
30 	197   	0.77734 	0.00138459 	0.778331
31 	197   	0.77777 	0.00153252 	0.779613
32 	197   	0.778931	0.002166   	0.780079
33 	197   	0.779236	0.00311225 	0.781014
34 	197   	0.780601	0.00145968 	0.782295
35 	197   	0.781641	0.00216141 	0.783212
36 	197   	0.782551	0.0025109  	0.78477 
37 	197   	0.784159	0.00196497 	0.785534
38 	197   	0.78493 	0.0018886  	0.786831
39 	197   	0.786164	0.00202667 	0.787813
40 	197   	0.787335	0.00152172 	0.788711
41 	197   	0.787809	0.00318841 	0.790158
42 	197   	0.789656	0.00178374 	0.791361
43 	197   	0.790723	0.00213474 	0.792419
44 	197   	0.79195 	0.00170398 	0.792837
45 	197   	0.792454	0.00153825 	0.793624
46 	197   	0.792572	0.00347929 	0.795615
47 	197   	0.794927	0.00310192 	0.795958
48 	197   	0.7956  	0.00141034 	0.796994
49 	197   	0.796192	0.00271584 	0.797888
50 	197   	0.797016	0.00311326 	0.799141
51 	197   	0.798664	0.00216122 	0.801377
52 	197   	0.800861	0.00209609 	0.802057
53 	197   	0.80125 	0.00247674 	0.8024  
54 	197   	0.801555	0.00285283 	0.803297
55 	197   	0.802726	0.00224499 	0.804969
56 	197   	0.804109	0.00308593 	0.806385
57 	197   	0.805469	0.00280795 	0.807327
58 	197   	0.806346	0.00329226 	0.808023
59 	197   	0.807433	0.00219092 	0.809262
60 	197   	0.808699	0.00174523 	0.809596
61 	197   	0.808985	0.00255758 	0.810069
62 	197   	0.809589	0.00155104 	0.810625
63 	197   	0.80969 	0.00313903 	0.811468
64 	197   	0.810584	0.00274345 	0.812349
65 	197   	0.811572	0.00243149 	0.812918
66 	197   	0.812302	0.00216493 	0.815132
67 	197   	0.814325	0.00280941 	0.815343
68 	197   	0.814681	0.00249891 	0.819033
69 	197   	0.818246	0.00237291 	0.820381
70 	197   	0.819622	0.00228078 	0.821305
71 	197   	0.820676	0.00242531 	0.82161 
