Execution of the code with theses parameters
On this image bro 5c.png
generations : 300
generations2 :200
population_size :200
seed : 21
polygons :5
mutation_rate :1
mating_prob : 0.1
mutate_pt :0.6
shuffle :0.05
remove_poly :0.05
add_poly :0.1
change_cr :0.1
add_pt :0.1
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.656852	0.00848322 	0.691552
1  	197   	0.691734	0.00281869 	0.704522
2  	197   	0.704751	0.00248065 	0.726131
3  	197   	0.726075	0.00160322 	0.736509
4  	197   	0.736418	0.00101304 	0.740965
5  	197   	0.740962	0.000515662	0.743975
6  	197   	0.743902	0.000464957	0.745393
7  	197   	0.745285	0.000772997	0.75059 
8  	197   	0.750529	0.000959706	0.754125
9  	197   	0.753934	0.000843026	0.755266
10 	197   	0.755189	0.000587754	0.757873
11 	197   	0.757785	0.00087773 	0.762039
12 	197   	0.761918	0.000620312	0.763433
13 	197   	0.763209	0.000922623	0.767537
14 	197   	0.767385	0.000593649	0.768871
15 	197   	0.768574	0.00134351 	0.769847
16 	197   	0.769656	0.000719022	0.771975
17 	197   	0.77166 	0.00124054 	0.773199
18 	197   	0.772955	0.000775179	0.774013
19 	197   	0.773889	0.000476075	0.774872
20 	197   	0.774688	0.00110032 	0.775766
21 	197   	0.775501	0.000815255	0.776135
22 	197   	0.776005	0.000629371	0.778576
23 	197   	0.778436	0.000681115	0.779847
24 	197   	0.779641	0.000930035	0.780771
25 	197   	0.780437	0.00102278 	0.781068
26 	197   	0.780923	0.000684849	0.781672
27 	197   	0.781506	0.000674622	0.782665
28 	197   	0.782331	0.00124548 	0.783422
29 	197   	0.783285	0.000615899	0.783933
30 	197   	0.783624	0.00121525 	0.784568
31 	197   	0.784112	0.00174304 	0.784916
32 	197   	0.784713	0.000989785	0.787345
33 	197   	0.787117	0.000710227	0.78845 
34 	197   	0.78816 	0.000841299	0.790118
35 	197   	0.789818	0.00100005 	0.790677
36 	197   	0.790442	0.000872197	0.791294
37 	197   	0.790969	0.00109377 	0.791691
38 	197   	0.791468	0.00095287 	0.792171
39 	197   	0.791789	0.00139578 	0.79384 
40 	197   	0.793571	0.000886262	0.794252
41 	197   	0.794006	0.000774548	0.794938
