Execution of the code with theses parameters
On this image bro 5a.png
generations : 500
generations2 :0
population_size :200
seed : 21
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.668533	0.00971905 	0.706042
1  	200   	0.70675 	0.00486168 	0.739273
2  	200   	0.739744	0.00274755 	0.75961 
3  	200   	0.759722	0.000938233	0.771601
4  	200   	0.771545	0.000843177	0.77491 
5  	200   	0.77484 	0.000465717	0.776438
6  	200   	0.776396	0.000460621	0.778547
7  	200   	0.778546	0.000274545	0.779941
8  	200   	0.779935	0.000413029	0.781565
9  	200   	0.781521	0.000409972	0.782563
10 	200   	0.782506	0.000475006	0.787016
11 	200   	0.78694 	0.00066553 	0.787771
12 	200   	0.787635	0.000742279	0.790404
13 	200   	0.790325	0.000532918	0.79226 
14 	200   	0.792192	0.000709679	0.79413 
15 	200   	0.794086	0.000442537	0.796852
16 	200   	0.796714	0.00065152 	0.797356
17 	200   	0.797187	0.0008114  	0.798365
18 	200   	0.798313	0.000516079	0.800885
19 	200   	0.800768	0.000575125	0.801704
20 	200   	0.801563	0.000632867	0.802417
21 	200   	0.802377	0.000565832	0.806053
22 	200   	0.805977	0.000558997	0.80772 
23 	200   	0.807615	0.000679543	0.808748
24 	200   	0.808577	0.00101403 	0.810254
25 	200   	0.810031	0.00120212 	0.811312
26 	200   	0.811095	0.00133636 	0.812249
27 	200   	0.812104	0.000712752	0.813336
28 	200   	0.813191	0.000729802	0.815188
29 	200   	0.815094	0.000600864	0.817396
30 	200   	0.817292	0.000681824	0.818612
31 	200   	0.818479	0.00073232 	0.819287
32 	200   	0.819153	0.000511375	0.819798
33 	200   	0.819695	0.00048076 	0.820938
34 	200   	0.820707	0.00117219 	0.821311
35 	200   	0.821104	0.000930836	0.822571
36 	200   	0.822432	0.000563545	0.822803
37 	200   	0.822557	0.00131158 	0.824159
38 	200   	0.824058	0.000537348	0.824995
39 	200   	0.824826	0.000887796	0.826557
40 	200   	0.826406	0.00105811 	0.827215
41 	200   	0.826982	0.00115878 	0.828328
42 	200   	0.828183	0.000575776	0.828699
43 	200   	0.828461	0.00128852 	0.832544
44 	200   	0.832268	0.00156605 	0.834079
45 	200   	0.833886	0.000789937	0.834315
46 	200   	0.83409 	0.00118088 	0.834759
47 	200   	0.834598	0.000865576	0.835164
48 	200   	0.83499 	0.000980378	0.835536
49 	200   	0.835397	0.000719454	0.836391
50 	200   	0.836162	0.00113143 	0.837296
51 	200   	0.837085	0.00108894 	0.838158
52 	200   	0.838003	0.00070161 	0.83922 
53 	200   	0.839037	0.000694715	0.840377
54 	200   	0.840065	0.00150699 	0.840675
55 	200   	0.840499	0.00114632 	0.841185
56 	200   	0.841059	0.000401967	0.84137 
57 	200   	0.841094	0.00128721 	0.841941
58 	200   	0.841715	0.00112761 	0.842083
59 	200   	0.841942	0.000686947	0.842716
60 	200   	0.842404	0.00154103 	0.843364
61 	200   	0.843222	0.000699035	0.844147
62 	200   	0.843994	0.000873943	0.844623
63 	200   	0.84439 	0.000912033	0.844878
64 	200   	0.844708	0.00071723 	0.845405
65 	200   	0.845227	0.000798311	0.846309
66 	200   	0.8461  	0.000835422	0.846498
67 	200   	0.846276	0.000878557	0.847275
68 	200   	0.847094	0.000858257	0.847812
69 	200   	0.847572	0.0014077  	0.848586
70 	200   	0.848456	0.000930968	0.850128
71 	200   	0.849989	0.000471303	0.850915
72 	200   	0.850702	0.000994616	0.851484
73 	200   	0.851292	0.000832596	0.851936
74 	200   	0.85152 	0.00163954 	0.852443
75 	200   	0.852251	0.00090644 	0.852773
76 	200   	0.852484	0.00157175 	0.853547
77 	200   	0.853446	0.000413304	0.854672
78 	200   	0.854456	0.00133765 	0.855143
79 	200   	0.854875	0.00105331 	0.855563
80 	200   	0.855448	0.000514204	0.855815
81 	200   	0.85563 	0.000997285	0.858087
82 	200   	0.857894	0.000774977	0.858481
83 	200   	0.858254	0.00105602 	0.858805
84 	200   	0.858592	0.00119796 	0.860978
85 	200   	0.860778	0.000993639	0.861433
