Execution of the code with theses parameters
On this image bro 5a.png
generations : 500
generations2 :0
population_size :200
seed : 21
polygons :5
mutation_rate :0.6
mating_prob : 0.4
mutate_pt :0.8
shuffle :0.02
remove_poly :0.03
add_poly :0.05
change_cr :0.05
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.668533	0.00971905 	0.706042
1  	147   	0.706241	0.00133827 	0.720197
2  	148   	0.720396	0.00283124 	0.758164
3  	138   	0.758248	0.000735582	0.766129
4  	145   	0.766172	0.000858547	0.774422
5  	156   	0.774464	0.000562444	0.779214
6  	146   	0.77915 	0.000387748	0.779915
7  	154   	0.779939	0.00051293 	0.785653
8  	158   	0.785604	0.000703838	0.788221
9  	166   	0.78817 	0.000400397	0.789359
10 	162   	0.789281	0.000917501	0.791105
11 	153   	0.790973	0.00119644 	0.792192
12 	157   	0.792108	0.000649465	0.79288 
13 	156   	0.792836	0.000434547	0.793801
14 	152   	0.793686	0.000795817	0.795348
15 	148   	0.795237	0.00064415 	0.796066
16 	156   	0.796036	0.000362674	0.797246
17 	152   	0.797194	0.000411672	0.797685
18 	146   	0.797539	0.000954112	0.799445
19 	151   	0.799313	0.000824405	0.800907
20 	153   	0.800846	0.000609344	0.801641
21 	166   	0.801503	0.00082589 	0.801963
22 	164   	0.801762	0.00121034 	0.802629
23 	149   	0.802542	0.000701161	0.804172
24 	149   	0.804062	0.000706829	0.805197
25 	151   	0.805083	0.000954661	0.805373
26 	150   	0.80522 	0.000792962	0.806078
27 	153   	0.805968	0.000844061	0.807504
28 	153   	0.807217	0.00147457 	0.809083
29 	161   	0.808936	0.000848928	0.809443
30 	143   	0.809224	0.00120299 	0.809715
31 	146   	0.809653	0.000359105	0.810081
32 	146   	0.809885	0.00106309 	0.811358
33 	145   	0.811247	0.000765099	0.811618
34 	155   	0.811513	0.000856909	0.8132  
35 	145   	0.813112	0.000635138	0.814522
36 	150   	0.81447 	0.000360588	0.815132
37 	160   	0.81501 	0.000596374	0.815367
38 	152   	0.815206	0.00100072 	0.815691
39 	157   	0.815558	0.000905059	0.816048
40 	144   	0.815932	0.00066504 	0.816472
41 	165   	0.816264	0.00105961 	0.816928
42 	161   	0.816841	0.000621118	0.817297
43 	157   	0.817191	0.000672492	0.818237
44 	146   	0.817975	0.00139771 	0.818564
45 	153   	0.818447	0.000816816	0.818684
46 	153   	0.818581	0.000591603	0.819005
47 	159   	0.818852	0.000978499	0.819728
48 	160   	0.819572	0.000895097	0.820709
49 	139   	0.820556	0.000868759	0.821316
50 	142   	0.821275	0.000222395	0.821819
51 	155   	0.821604	0.00115026 	0.822365
52 	140   	0.822159	0.00144915 	0.82376 
53 	158   	0.82361 	0.000917434	0.825436
54 	150   	0.825322	0.000661395	0.825771
55 	157   	0.825357	0.00224234 	0.82606 
56 	158   	0.825826	0.00115186 	0.827126
57 	155   	0.826992	0.000857651	0.827594
58 	161   	0.827547	0.000263187	0.827791
59 	147   	0.827472	0.00153165 	0.82938 
60 	144   	0.829211	0.00115784 	0.829889
61 	163   	0.829555	0.00179641 	0.830467
62 	154   	0.830319	0.0010432  	0.83088 
63 	145   	0.830684	0.00139625 	0.831229
64 	155   	0.831122	0.000681348	0.831436
65 	156   	0.831343	0.000626487	0.831735
66 	145   	0.831657	0.000763877	0.831848
67 	143   	0.831622	0.00130368 	0.832025
68 	164   	0.831919	0.000774856	0.834736
69 	151   	0.834184	0.00245472 	0.835401
70 	143   	0.83537 	0.000216524	0.835817
71 	152   	0.835497	0.0013814  	0.836042
72 	151   	0.835856	0.00115808 	0.836789
73 	147   	0.836629	0.00110615 	0.836995
74 	147   	0.836838	0.00107503 	0.837641
75 	148   	0.837564	0.000459641	0.838649
76 	147   	0.838565	0.000577264	0.839393
77 	152   	0.839149	0.00162807 	0.839613
78 	157   	0.83958 	0.000157774	0.839692
79 	155   	0.839516	0.00123269 	0.841408
80 	143   	0.841322	0.000668326	0.841777
81 	156   	0.841585	0.00110646 	0.842185
82 	163   	0.84208 	0.000852832	0.843155
83 	151   	0.842961	0.0012472  	0.843706
84 	151   	0.84365 	0.000274982	0.84389 
85 	156   	0.843744	0.000866569	0.844512
86 	158   	0.844309	0.0011484  	0.845875
87 	146   	0.845714	0.000803636	0.846362
88 	142   	0.846258	0.000682967	0.848337
89 	141   	0.848232	0.00091579 	0.849823
90 	163   	0.84955 	0.00144055 	0.850428
91 	162   	0.850266	0.00126527 	0.851525
92 	157   	0.851258	0.00166872 	0.851605
93 	148   	0.851425	0.000897245	0.852345
94 	157   	0.852105	0.00124523 	0.852592
95 	146   	0.852253	0.00171478 	0.852691
96 	155   	0.852596	0.000643   	0.854148
97 	144   	0.85391 	0.00106096 	0.854405
98 	156   	0.854117	0.00192349 	0.854784
99 	148   	0.854569	0.00120503 	0.855188
100	152   	0.855006	0.00117964 	0.855764
101	158   	0.855644	0.000548264	0.85625 
102	148   	0.855941	0.00156101 	0.856533
103	157   	0.856357	0.00110579 	0.856714
104	146   	0.856549	0.00121045 	0.856986
105	146   	0.856837	0.000820373	0.85704 
106	155   	0.856936	0.000638306	0.857671
107	156   	0.857625	0.000299105	0.857963
108	150   	0.857847	0.000759199	0.858395
109	152   	0.858359	0.000260056	0.859234
110	155   	0.858939	0.00195318 	0.859523
111	170   	0.859108	0.00194865 	0.859824
112	150   	0.859644	0.000830212	0.86049 
113	144   	0.860222	0.00169992 	0.861226
114	151   	0.861138	0.000683281	0.861306
115	142   	0.861119	0.00113397 	0.86176 
116	159   	0.861674	0.000533985	0.862513
117	150   	0.862424	0.000426703	0.863358
118	145   	0.862883	0.00228557 	0.863953
119	163   	0.863867	0.000465453	0.864954
120	157   	0.864857	0.000908829	0.8654  
121	157   	0.865201	0.00122795 	0.865468
122	151   	0.865209	0.00147938 	0.866018
123	156   	0.865804	0.00147551 	0.866534
124	152   	0.866432	0.000649538	0.866858
125	149   	0.866733	0.000926692	0.866932
126	159   	0.866832	0.000504772	0.867298
127	150   	0.867179	0.000716958	0.867615
128	149   	0.867556	0.000310381	0.867811
129	149   	0.86767 	0.000755823	0.868076
130	167   	0.867952	0.000573243	0.868288
131	154   	0.868045	0.00123821 	0.868423
132	160   	0.868402	0.000150719	0.868668
133	153   	0.868549	0.000780706	0.868834
134	146   	0.868729	0.000742316	0.868952
135	144   	0.868676	0.00140485 	0.869219
136	154   	0.869082	0.000641361	0.869403
137	157   	0.869208	0.00130814 	0.86948 
138	154   	0.869443	0.000281678	0.870331
139	154   	0.869992	0.00174175 	0.870419
140	140   	0.870299	0.000823954	0.871517
141	146   	0.871252	0.00174686 	0.871715
142	139   	0.871606	0.000672314	0.872534
143	154   	0.872429	0.000773123	0.872797
144	154   	0.872634	0.000899174	0.873184
145	145   	0.872885	0.00173563 	0.873321
146	145   	0.873045	0.00137275 	0.87407 
147	155   	0.873873	0.00138625 	0.874219
148	152   	0.874073	0.000921622	0.874531
149	147   	0.874457	0.000335893	0.875047
150	157   	0.874881	0.000855032	0.87534 
151	151   	0.875188	0.000713987	0.875743
152	146   	0.875568	0.00115036 	0.876154
153	161   	0.876   	0.000926244	0.876225
154	160   	0.876069	0.000741685	0.876421
155	149   	0.876222	0.00101008 	0.876542
156	151   	0.876285	0.00144764 	0.87785 
157	154   	0.877708	0.000826383	0.878271
158	160   	0.878207	0.000318283	0.87877 
159	144   	0.878485	0.00166148 	0.879045
160	145   	0.87882 	0.00135157 	0.879348
161	164   	0.879121	0.00114422 	0.879561
162	153   	0.879389	0.00122476 	0.879778
163	174   	0.879666	0.000762267	0.879981
164	155   	0.879872	0.0010386  	0.880332
165	153   	0.880088	0.00119511 	0.880405
166	156   	0.880218	0.000968184	0.881195
167	157   	0.880851	0.00174257 	0.881612
168	151   	0.881339	0.00171465 	0.881814
169	150   	0.881694	0.000816449	0.881988
170	148   	0.881854	0.000952669	0.88224 
171	166   	0.882093	0.000717527	0.882491
172	154   	0.882267	0.0019779  	0.882548
173	140   	0.882397	0.000810572	0.883188
174	153   	0.883043	0.000685715	0.883386
175	151   	0.883176	0.00145797 	0.883476
176	147   	0.883346	0.000891465	0.883976
177	155   	0.883774	0.00102876 	0.884124
178	164   	0.883909	0.00108926 	0.884271
179	137   	0.884131	0.000691067	0.884395
180	149   	0.884129	0.00143998 	0.885084
181	162   	0.884891	0.000885674	0.885521
182	157   	0.885357	0.00121095 	0.885731
183	154   	0.885511	0.00122033 	0.885809
184	142   	0.885611	0.00132342 	0.885952
185	168   	0.885669	0.00155747 	0.886171
186	147   	0.885996	0.00121933 	0.886194
187	151   	0.885923	0.00183891 	0.887098
188	155   	0.886761	0.00200325 	0.887891
189	154   	0.887669	0.0013201  	0.88806 
190	150   	0.887757	0.00163019 	0.888239
191	155   	0.887691	0.00271786 	0.889141
192	154   	0.889116	0.000167006	0.889766
193	150   	0.889642	0.000778875	0.889872
194	161   	0.889739	0.000830293	0.889957
195	154   	0.889564	0.00198243 	0.890654
196	147   	0.890566	0.000674558	0.890815
197	157   	0.890768	0.000341964	0.890913
198	152   	0.890547	0.00170949 	0.891276
199	162   	0.891123	0.00102141 	0.89141 
200	160   	0.891207	0.00126388 	0.891634
201	167   	0.891441	0.0014296  	0.892346
202	161   	0.892208	0.00100925 	0.892468
203	158   	0.892277	0.00120882 	0.892979
204	161   	0.892861	0.000659501	0.893178
205	152   	0.893   	0.00133094 	0.893305
206	146   	0.893208	0.00059202 	0.893562
207	148   	0.893388	0.00118721 	0.893696
208	155   	0.893467	0.00118625 	0.894465
209	155   	0.894409	0.000426577	0.894616
210	159   	0.894425	0.000936234	0.894717
211	151   	0.894355	0.00174636 	0.894857
212	160   	0.89459 	0.00164671 	0.895235
213	155   	0.895025	0.00168428 	0.895602
214	157   	0.895337	0.001205   	0.896398
215	153   	0.896213	0.00107176 	0.896758
216	150   	0.896393	0.0019099  	0.897063
217	153   	0.896975	0.000615339	0.89718 
218	159   	0.89711 	0.000470775	0.897304
219	155   	0.897233	0.00062922 	0.897353
220	142   	0.897044	0.00137231 	0.897559
221	154   	0.89733 	0.00148322 	0.899518
222	142   	0.899214	0.00136347 	0.899937
223	138   	0.899702	0.00103503 	0.900068
224	152   	0.899947	0.000717634	0.900282
225	167   	0.9002  	0.000598658	0.901209
226	154   	0.90103 	0.00135327 	0.901272
227	144   	0.901073	0.00120226 	0.901469
228	155   	0.901137	0.00177586 	0.901702
229	160   	0.901505	0.00122065 	0.901778
230	155   	0.901447	0.00180533 	0.90206 
231	162   	0.90191 	0.000848623	0.902615
232	151   	0.902404	0.00135357 	0.902863
233	157   	0.902754	0.000653907	0.902929
234	150   	0.902749	0.00105196 	0.903082
235	138   	0.902954	0.000674701	0.903201
236	146   	0.902891	0.00182948 	0.9033  
237	145   	0.903031	0.00154308 	0.90338 
238	151   	0.903006	0.00166157 	0.903514
239	146   	0.903423	0.000549934	0.90372 
240	150   	0.903303	0.00225301 	0.903842
241	137   	0.903615	0.00118598 	0.904209
242	157   	0.904123	0.00048663 	0.904652
243	158   	0.904258	0.00174477 	0.904873
244	170   	0.904783	0.000465631	0.905001
245	146   	0.90485 	0.000974234	0.905177
246	155   	0.904903	0.00162808 	0.905347
247	150   	0.905229	0.000712341	0.905449
248	140   	0.905364	0.000737053	0.905488
249	147   	0.905228	0.00129153 	0.905552
250	146   	0.90536 	0.0010609  	0.905672
251	147   	0.905451	0.00118505 	0.90599 
252	151   	0.905752	0.00122089 	0.906102
253	153   	0.905979	0.000927694	0.906171
254	141   	0.906046	0.00106856 	0.906249
255	139   	0.906072	0.000852144	0.906519
256	149   	0.906307	0.00141513 	0.907356
257	153   	0.907117	0.00152957 	0.907413
258	143   	0.907225	0.00107714 	0.907546
259	150   	0.907493	0.000348292	0.907673
260	137   	0.907527	0.000896987	0.908084
261	155   	0.90792 	0.000984902	0.908172
262	154   	0.907858	0.00172576 	0.908293
263	155   	0.907983	0.00200341 	0.908427
264	147   	0.908173	0.00137263 	0.908987
265	154   	0.908752	0.00146341 	0.90907 
266	147   	0.908932	0.00102609 	0.909749
267	159   	0.909568	0.00115087 	0.91056 
268	145   	0.910435	0.000978769	0.911004
269	154   	0.910666	0.00162444 	0.911147
270	135   	0.910988	0.00114632 	0.911326
271	148   	0.9112  	0.000672705	0.911376
272	154   	0.911166	0.00137881 	0.91139 
273	151   	0.911196	0.00103885 	0.911422
274	149   	0.911252	0.00107214 	0.911704
275	144   	0.911423	0.00205955 	0.911938
276	145   	0.911789	0.000865437	0.912024
277	154   	0.911799	0.00116363 	0.912094
278	156   	0.911697	0.00207325 	0.912243
279	165   	0.911959	0.00175988 	0.912474
280	149   	0.912234	0.00146576 	0.912741
281	147   	0.912499	0.00117909 	0.912797
282	156   	0.912627	0.00111651 	0.912899
283	143   	0.912736	0.00108697 	0.912959
284	149   	0.912701	0.00166261 	0.913076
285	159   	0.912957	0.000881951	0.913221
286	151   	0.913051	0.00108746 	0.913298
287	152   	0.91311 	0.000958576	0.913505
288	143   	0.913342	0.000876892	0.914256
289	144   	0.914032	0.00120495 	0.914295
290	159   	0.914145	0.000899764	0.914341
291	145   	0.914179	0.00113308 	0.914441
292	151   	0.914338	0.00058857 	0.91452 
293	149   	0.914403	0.000713788	0.914795
294	145   	0.914431	0.00201972 	0.914875
295	146   	0.914738	0.000786066	0.914997
296	155   	0.914877	0.000658562	0.915194
297	147   	0.915035	0.00100939 	0.915287
298	146   	0.914911	0.00213796 	0.915485
