Execution of the code with theses parameters
On this image bro 5a.png
generations : 500
generations2 :0
population_size :200
seed : 31
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.6
shuffle :0.05
remove_poly :0.05
add_poly :0.1
change_cr :0.1
add_pt :0.1
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.668774	0.0112802  	0.70807 
1  	200   	0.708755	0.0049857  	0.745121
2  	200   	0.745734	0.00245207 	0.758017
3  	200   	0.758163	0.00140027 	0.765583
4  	200   	0.765662	0.000946559	0.771214
5  	200   	0.77127 	0.000949969	0.782358
6  	200   	0.782273	0.000796969	0.785716
7  	200   	0.785623	0.000713771	0.789097
8  	200   	0.788869	0.0010735  	0.790497
9  	200   	0.790312	0.000763919	0.791212
10 	200   	0.79106 	0.000956548	0.793207
11 	200   	0.793104	0.00073087 	0.79442 
12 	200   	0.79423 	0.000870739	0.79581 
13 	200   	0.795806	0.000573285	0.800057
14 	200   	0.799893	0.000717702	0.801753
15 	200   	0.801627	0.000762364	0.80432 
16 	200   	0.804161	0.00106421 	0.809013
17 	200   	0.808798	0.000949624	0.811129
18 	200   	0.810802	0.00120956 	0.811978
19 	200   	0.811664	0.00131843 	0.813694
20 	200   	0.813566	0.00062719 	0.815671
21 	200   	0.815326	0.00146901 	0.816866
22 	200   	0.816619	0.00110878 	0.817818
23 	200   	0.817505	0.00123796 	0.819051
24 	200   	0.818781	0.00112194 	0.820155
25 	200   	0.819806	0.00126353 	0.820637
26 	200   	0.820372	0.000989946	0.821312
27 	200   	0.821104	0.000842184	0.822475
28 	200   	0.822201	0.00125587 	0.823562
29 	200   	0.823281	0.000941631	0.82397 
30 	200   	0.823563	0.00142125 	0.824708
31 	200   	0.824358	0.00151093 	0.825715
32 	200   	0.825533	0.000737734	0.826456
33 	200   	0.826149	0.00127519 	0.82735 
34 	200   	0.827085	0.00104408 	0.82788 
35 	200   	0.827384	0.001731   	0.828594
36 	200   	0.828387	0.000848904	0.829099
37 	200   	0.82894 	0.000747313	0.830047
38 	200   	0.829699	0.00151864 	0.832364
39 	200   	0.832158	0.000901228	0.833032
40 	200   	0.832602	0.00177955 	0.833916
41 	200   	0.833631	0.00110709 	0.835415
42 	200   	0.83485 	0.00183514 	0.835877
43 	200   	0.835574	0.00147898 	0.836983
44 	200   	0.836495	0.00143195 	0.837659
45 	200   	0.837297	0.00169884 	0.838279
46 	200   	0.83799 	0.000955465	0.839222
47 	200   	0.838701	0.00199706 	0.842345
48 	200   	0.842015	0.00115372 	0.842829
49 	200   	0.842598	0.00098384 	0.84303 
50 	200   	0.842671	0.00152562 	0.843408
51 	200   	0.843103	0.00110605 	0.844529
52 	200   	0.844109	0.00155105 	0.845093
53 	200   	0.844764	0.00126203 	0.845672
54 	200   	0.845449	0.000838951	0.846174
