Execution of the code with theses parameters
On this image bro 5b.png
generations : 500
generations2 :0
population_size :200
seed : 69
polygons :5
mutation_rate :0.6
mating_prob : 0.4
mutate_pt :0.8
shuffle :0.02
remove_poly :0.03
add_poly :0.05
change_cr :0.05
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.599956	0.00972765 	0.629969
1  	151   	0.630153	0.0013253  	0.645429
2  	148   	0.645603	0.00145729 	0.661644
3  	149   	0.661818	0.0010189  	0.670896
4  	157   	0.670926	0.000357559	0.674558
5  	153   	0.674717	0.00192878 	0.701037
6  	152   	0.701013	0.000244834	0.702756
7  	143   	0.702809	0.000375054	0.705612
8  	146   	0.705639	0.000647201	0.709569
9  	132   	0.709592	0.000650978	0.716119
10 	151   	0.716204	0.000761327	0.723536
11 	149   	0.723457	0.000564238	0.724461
12 	159   	0.724403	0.000362592	0.725911
13 	138   	0.725788	0.000965053	0.727809
14 	153   	0.72777 	0.000867006	0.733918
15 	157   	0.733879	0.000741989	0.736832
16 	150   	0.736741	0.000748122	0.73936 
17 	147   	0.739298	0.000500735	0.740691
18 	141   	0.74059 	0.00078841 	0.742899
19 	151   	0.742803	0.000810378	0.74445 
20 	145   	0.744404	0.00046544 	0.746012
21 	157   	0.745906	0.0010775  	0.754697
22 	159   	0.754426	0.00175124 	0.755561
23 	152   	0.755428	0.00110995 	0.757744
24 	157   	0.757686	0.000415473	0.758202
25 	161   	0.757995	0.00121279 	0.759286
26 	147   	0.75919 	0.000692241	0.760706
27 	144   	0.760491	0.00117142 	0.7613  
28 	157   	0.761168	0.000772691	0.762245
29 	146   	0.762098	0.00119504 	0.763813
30 	144   	0.763558	0.00140838 	0.765754
31 	152   	0.765603	0.000968469	0.765957
32 	156   	0.765877	0.000524418	0.767073
33 	163   	0.766807	0.00144348 	0.767653
34 	147   	0.767535	0.000734991	0.769043
35 	159   	0.76882 	0.00110606 	0.769637
36 	156   	0.769323	0.00143501 	0.769944
37 	150   	0.769846	0.000666735	0.770393
38 	150   	0.770187	0.00143418 	0.77076 
39 	158   	0.77051 	0.00156218 	0.771628
40 	160   	0.77152 	0.000662731	0.77217 
41 	156   	0.772081	0.000614644	0.772877
42 	154   	0.772731	0.000985716	0.773808
43 	165   	0.773505	0.00169236 	0.774078
44 	148   	0.773922	0.00103374 	0.775118
45 	162   	0.774807	0.00167534 	0.776111
46 	147   	0.775898	0.00123847 	0.776717
47 	150   	0.776642	0.000544134	0.776971
48 	158   	0.776816	0.00089264 	0.77832 
49 	148   	0.77829 	0.000227157	0.778564
50 	132   	0.77837 	0.000993224	0.78018 
51 	154   	0.780011	0.00103839 	0.781063
52 	152   	0.780884	0.00105168 	0.782073
53 	154   	0.781938	0.00106484 	0.782739
54 	158   	0.782509	0.00159015 	0.784542
55 	155   	0.784355	0.0013815  	0.784892
56 	154   	0.784723	0.00117977 	0.787721
57 	156   	0.787427	0.00189743 	0.79019 
58 	161   	0.790001	0.00131425 	0.791266
59 	162   	0.790962	0.00163929 	0.791428
60 	157   	0.791294	0.000969222	0.792022
61 	154   	0.791896	0.000854985	0.794578
62 	151   	0.794218	0.00172292 	0.794999
63 	157   	0.794697	0.0015246  	0.795843
64 	162   	0.795684	0.00145915 	0.797667
65 	153   	0.797512	0.0011492  	0.798069
66 	152   	0.797757	0.00172174 	0.798428
67 	145   	0.798344	0.000531938	0.799777
68 	158   	0.799637	0.00085761 	0.800614
69 	149   	0.800246	0.00207797 	0.800737
