Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 69
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.654768	0.0081898  	0.680611
1  	200   	0.681269	0.00326448 	0.709374
2  	200   	0.709502	0.000815889	0.716869
3  	200   	0.717012	0.000854108	0.726227
4  	200   	0.726337	0.00086783 	0.734896
5  	200   	0.734916	0.000349807	0.73743 
6  	200   	0.737531	0.00067684 	0.742162
7  	200   	0.742194	0.000327468	0.744694
8  	200   	0.744697	0.000357052	0.748096
9  	200   	0.748086	0.000259291	0.749722
10 	200   	0.749675	0.000545146	0.752634
11 	200   	0.752676	0.000449974	0.756634
12 	200   	0.75661 	0.000391275	0.758159
13 	200   	0.758161	0.000308008	0.759498
14 	200   	0.759467	0.000355908	0.761074
15 	200   	0.761045	0.000262807	0.762036
16 	200   	0.761986	0.000401172	0.76489 
17 	200   	0.764857	0.000343417	0.766396
18 	200   	0.766348	0.000398265	0.767527
19 	200   	0.767454	0.000556013	0.768272
20 	200   	0.768256	0.000388737	0.770268
21 	200   	0.77021 	0.000404086	0.771443
22 	200   	0.771287	0.000966145	0.77229 
23 	200   	0.772099	0.00107528 	0.773818
24 	200   	0.77376 	0.000332289	0.774111
25 	200   	0.773994	0.000723118	0.775792
26 	200   	0.775694	0.000559033	0.776896
27 	200   	0.776847	0.000363241	0.778533
28 	200   	0.778365	0.000917919	0.780326
29 	200   	0.780246	0.000430301	0.780906
30 	200   	0.780825	0.000479234	0.781528
31 	200   	0.781437	0.000614308	0.783109
32 	200   	0.783003	0.00048666 	0.784575
33 	200   	0.784438	0.000664235	0.786335
34 	200   	0.78625 	0.000608559	0.787635
35 	200   	0.787553	0.000454204	0.788814
36 	200   	0.788683	0.000790184	0.789321
37 	200   	0.789195	0.000749647	0.790385
38 	200   	0.790214	0.00111644 	0.791055
39 	200   	0.790829	0.000869354	0.791975
40 	200   	0.791837	0.00082516 	0.792323
41 	200   	0.792167	0.000971991	0.792687
42 	200   	0.792543	0.000780503	0.793607
43 	200   	0.793564	0.000303215	0.794254
44 	200   	0.794044	0.00091598 	0.796139
45 	200   	0.796019	0.00072249 	0.796834
46 	200   	0.796758	0.000341524	0.797498
47 	200   	0.797395	0.000641692	0.797699
48 	200   	0.797603	0.000482691	0.797943
49 	200   	0.797833	0.000611963	0.798794
50 	200   	0.798664	0.000569123	0.799826
51 	200   	0.799701	0.000525164	0.800402
52 	200   	0.80023 	0.000653394	0.800763
53 	200   	0.800563	0.000650448	0.800822
54 	200   	0.800692	0.000944419	0.801161
55 	200   	0.801068	0.000550916	0.801411
56 	200   	0.801291	0.000563646	0.801921
57 	200   	0.80176 	0.0008361  	0.802557
58 	200   	0.802467	0.000329457	0.802888
59 	200   	0.802597	0.00125376 	0.803726
60 	200   	0.803537	0.000930161	0.804136
61 	200   	0.804022	0.000515723	0.804525
62 	200   	0.804356	0.00076174 	0.804918
63 	200   	0.804782	0.000567373	0.805142
64 	200   	0.805026	0.000619477	0.806838
65 	200   	0.806693	0.00069493 	0.807954
66 	200   	0.807781	0.000795856	0.808206
67 	200   	0.808068	0.000574999	0.808513
68 	200   	0.808304	0.000956568	0.809333
69 	200   	0.809213	0.000512079	0.809723
70 	200   	0.80962 	0.000430821	0.809965
71 	200   	0.809763	0.00134715 	0.810277
72 	200   	0.810079	0.0010384  	0.810604
73 	200   	0.81044 	0.000646356	0.810962
74 	200   	0.810868	0.000386274	0.811397
75 	200   	0.81123 	0.00116225 	0.812652
76 	200   	0.812486	0.00070835 	0.812879
77 	200   	0.812705	0.000789233	0.813021
78 	200   	0.812857	0.00076297 	0.813458
79 	200   	0.813369	0.000454358	0.814012
80 	200   	0.813915	0.000519989	0.814529
81 	200   	0.814453	0.000319425	0.814735
82 	200   	0.814571	0.000644438	0.814865
83 	200   	0.814552	0.00128381 	0.815016
84 	200   	0.814874	0.000510907	0.815206
85 	200   	0.815018	0.0007878  	0.815517
86 	200   	0.815398	0.000518419	0.816303
87 	200   	0.816206	0.000540386	0.816645
88 	200   	0.816484	0.000756086	0.816793
89 	200   	0.816641	0.000831984	0.81727 
90 	200   	0.817043	0.00116709 	0.817463
91 	200   	0.817324	0.000752634	0.817714
92 	200   	0.817506	0.00117778 	0.818551
93 	200   	0.818384	0.000932221	0.819038
94 	200   	0.818892	0.00072577 	0.819178
95 	200   	0.819045	0.000561353	0.819289
96 	200   	0.819065	0.000926065	0.819837
97 	200   	0.819685	0.000613708	0.81994 
98 	200   	0.819724	0.000675535	0.82018 
99 	200   	0.819972	0.000975013	0.820814
100	200   	0.820673	0.000829862	0.82093 
101	200   	0.820685	0.00122145 	0.821241
102	200   	0.821116	0.000575862	0.821712
103	200   	0.821472	0.00109422 	0.821913
104	200   	0.821819	0.000619499	0.825121
105	200   	0.824925	0.000957263	0.825614
106	200   	0.825404	0.00080207 	0.825747
107	200   	0.825513	0.00130859 	0.825975
108	200   	0.825705	0.00104473 	0.826183
109	200   	0.826046	0.000602564	0.826497
110	200   	0.826332	0.000596304	0.826545
111	200   	0.826412	0.000704089	0.826791
112	200   	0.826608	0.00101574 	0.827085
113	200   	0.826907	0.00102564 	0.827182
114	200   	0.826973	0.000916401	0.827244
115	200   	0.827169	0.00035653 	0.827773
116	200   	0.827521	0.00097706 	0.827945
117	200   	0.827745	0.000682538	0.828388
118	200   	0.828018	0.0015237  	0.828463
119	200   	0.828354	0.000486104	0.82865 
120	200   	0.828438	0.000795541	0.828856
121	200   	0.828704	0.00097821 	0.829104
122	200   	0.828871	0.000962621	0.829328
123	200   	0.829062	0.00107278 	0.829564
124	200   	0.829383	0.00117807 	0.83079 
125	200   	0.830577	0.00109111 	0.830908
126	200   	0.830578	0.00146374 	0.831926
127	200   	0.831573	0.00144378 	0.833161
128	200   	0.832945	0.00109348 	0.833366
129	200   	0.833168	0.000692423	0.833833
130	200   	0.8336  	0.00091729 	0.834476
