Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 21
polygons :5
mutation_rate :0.6
mating_prob : 0.4
mutate_pt :0.8
shuffle :0.02
remove_poly :0.03
add_poly :0.05
change_cr :0.05
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.656852	0.00848322 	0.691552
1  	147   	0.691665	0.0009168  	0.698702
2  	148   	0.698897	0.00263163 	0.733897
3  	138   	0.733971	0.000640428	0.738722
4  	145   	0.738802	0.000880781	0.745848
5  	147   	0.745817	0.000448404	0.746837
6  	151   	0.746904	0.000871553	0.758587
7  	137   	0.75855 	0.000456626	0.760556
8  	149   	0.76044 	0.000762785	0.761654
9  	153   	0.761565	0.000560502	0.762613
10 	147   	0.762623	0.000119441	0.763613
11 	152   	0.763544	0.000886479	0.766562
12 	153   	0.766558	0.00017837 	0.767694
13 	152   	0.767551	0.000741129	0.768056
14 	157   	0.768013	0.000484481	0.769208
15 	153   	0.769154	0.000336603	0.770225
16 	151   	0.770196	0.000212923	0.770699
17 	151   	0.770664	0.000295861	0.772122
18 	146   	0.772091	0.000267765	0.77286 
19 	149   	0.772809	0.00067214 	0.773968
20 	157   	0.773917	0.000370765	0.774144
21 	151   	0.774118	0.000255901	0.77478 
22 	138   	0.774731	0.000484191	0.775647
23 	162   	0.775487	0.000987315	0.776714
24 	134   	0.776662	0.000370102	0.77814 
25 	150   	0.778099	0.000438077	0.778509
26 	154   	0.778401	0.00121413 	0.779795
27 	159   	0.779703	0.000542328	0.779929
28 	158   	0.779896	0.000224495	0.78035 
29 	158   	0.780085	0.00160002 	0.780955
30 	150   	0.780881	0.000560443	0.782711
31 	146   	0.782626	0.000697965	0.783349
32 	151   	0.783258	0.000515333	0.783616
33 	158   	0.783526	0.000899444	0.78417 
34 	153   	0.784037	0.000579255	0.785008
35 	148   	0.784803	0.000911547	0.785298
36 	155   	0.785241	0.000443437	0.786234
37 	150   	0.786135	0.000645547	0.786358
38 	145   	0.786225	0.000892158	0.786855
39 	153   	0.786634	0.00142386 	0.786926
40 	146   	0.786796	0.000739918	0.788424
41 	136   	0.788372	0.000396236	0.788873
42 	155   	0.788699	0.000891957	0.789322
43 	151   	0.789242	0.000620596	0.790692
44 	153   	0.79055 	0.000823397	0.791253
45 	161   	0.791144	0.000678571	0.79167 
46 	152   	0.791513	0.000738233	0.792626
47 	150   	0.792559	0.000378322	0.793016
48 	136   	0.793002	0.000155528	0.793226
49 	143   	0.793162	0.000459048	0.79386 
50 	158   	0.793738	0.000650989	0.79395 
51 	156   	0.793832	0.000777403	0.794154
52 	162   	0.794097	0.000378154	0.794516
53 	136   	0.79447 	0.000344317	0.794743
