Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 31
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.6
shuffle :0.05
remove_poly :0.05
add_poly :0.1
change_cr :0.1
add_pt :0.1
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.655797	0.00850642 	0.686437
1  	200   	0.686899	0.00353775 	0.715555
2  	200   	0.715619	0.00188072 	0.724755
3  	200   	0.725124	0.00162829 	0.737923
4  	200   	0.737959	0.00064998 	0.741979
5  	200   	0.74199 	0.00066939 	0.746499
6  	200   	0.746579	0.000972245	0.755702
7  	200   	0.755676	0.000616892	0.759982
8  	200   	0.759897	0.000739898	0.761812
9  	200   	0.761663	0.000789618	0.763848
10 	200   	0.763696	0.000763927	0.764815
11 	200   	0.764679	0.00068486 	0.765895
12 	200   	0.765784	0.000581754	0.767332
13 	200   	0.767194	0.000739689	0.770125
14 	200   	0.770007	0.000757987	0.772508
15 	200   	0.772365	0.00080866 	0.773983
16 	200   	0.773764	0.00108621 	0.776625
17 	200   	0.776435	0.00102278 	0.779559
18 	200   	0.779316	0.00100427 	0.780944
19 	200   	0.78078 	0.000687704	0.781803
20 	200   	0.781656	0.00051054 	0.782439
21 	200   	0.782337	0.000389475	0.783176
22 	200   	0.782772	0.00134992 	0.78431 
23 	200   	0.784164	0.000632486	0.785168
24 	200   	0.784955	0.00080872 	0.785613
25 	200   	0.785254	0.00143403 	0.786053
26 	200   	0.785729	0.00143117 	0.786542
27 	200   	0.786361	0.00090525 	0.787322
28 	200   	0.787155	0.000553663	0.787539
29 	200   	0.787134	0.00170215 	0.788521
30 	200   	0.788273	0.000854809	0.788805
31 	200   	0.788532	0.000999248	0.789127
32 	200   	0.788769	0.00123611 	0.78939 
33 	200   	0.789025	0.00123477 	0.790419
34 	200   	0.790214	0.0009846  	0.791767
35 	200   	0.791488	0.000966966	0.792398
36 	200   	0.792183	0.000770821	0.793062
37 	200   	0.792715	0.00115456 	0.79409 
38 	200   	0.793491	0.00188806 	0.794451
39 	200   	0.79423 	0.000712703	0.794843
40 	200   	0.794443	0.00121655 	0.795541
41 	200   	0.795231	0.00129891 	0.795736
42 	200   	0.795378	0.00126656 	0.796244
43 	200   	0.795988	0.00105129 	0.797109
44 	200   	0.796683	0.0013043  	0.797363
45 	200   	0.796989	0.0012393  	0.797806
46 	200   	0.797567	0.000908783	0.798323
47 	200   	0.798055	0.00111329 	0.8     
48 	200   	0.799801	0.000910841	0.802807
49 	200   	0.802359	0.00162916 	0.803183
50 	200   	0.802844	0.00120255 	0.804164
51 	200   	0.803778	0.00109864 	0.804438
52 	200   	0.803953	0.00183294 	0.804965
53 	200   	0.804624	0.00112324 	0.805284
54 	200   	0.804905	0.00125685 	0.805602
55 	200   	0.805444	0.000650753	0.805892
56 	200   	0.805575	0.00106719 	0.806903
57 	200   	0.806391	0.00173072 	0.808065
58 	200   	0.807827	0.000720337	0.808353
59 	200   	0.808   	0.00122561 	0.808972
60 	200   	0.808534	0.00147097 	0.80942 
61 	200   	0.80903 	0.00125622 	0.809649
62 	200   	0.809254	0.00140825 	0.811068
63 	200   	0.810916	0.000582289	0.811309
64 	200   	0.810766	0.00147394 	0.811554
65 	200   	0.811179	0.00122892 	0.81219 
66 	200   	0.811928	0.00122442 	0.812501
67 	200   	0.812243	0.000980482	0.81265 
68 	200   	0.812286	0.00126297 	0.813131
69 	200   	0.812624	0.0017082  	0.813336
70 	200   	0.812904	0.0014737  	0.813497
71 	200   	0.813233	0.000883444	0.813726
72 	200   	0.813292	0.00157612 	0.814028
73 	200   	0.813634	0.00124498 	0.814341
74 	200   	0.813889	0.00154581 	0.814515
75 	200   	0.814215	0.000887072	0.815009
76 	200   	0.814714	0.00106115 	0.815501
77 	200   	0.815272	0.000834456	0.815913
78 	200   	0.815622	0.000971923	0.816075
79 	200   	0.815671	0.00118115 	0.817223
80 	200   	0.816904	0.000998941	0.817557
81 	200   	0.817135	0.00132155 	0.818776
82 	200   	0.818437	0.00109646 	0.819433
83 	200   	0.818991	0.00149296 	0.820246
84 	200   	0.819833	0.00135128 	0.820877
85 	200   	0.820461	0.00132914 	0.821388
86 	200   	0.821109	0.00091955 	0.821561
87 	200   	0.821037	0.00148059 	0.822022
88 	200   	0.821668	0.00105369 	0.822137
89 	200   	0.821436	0.00190035 	0.823072
90 	200   	0.822671	0.00147594 	0.823217
91 	200   	0.822798	0.00135355 	0.823496
92 	200   	0.823121	0.00126979 	0.823604
93 	200   	0.823254	0.00124072 	0.824772
94 	200   	0.824394	0.00133828 	0.824917
95 	200   	0.82473 	0.000653588	0.825132
96 	200   	0.82483 	0.000969376	0.82578 
97 	200   	0.825356	0.0014263  	0.825835
98 	200   	0.825462	0.00116879 	0.82603 
99 	200   	0.825703	0.00126832 	0.828621
100	200   	0.828331	0.000854563	0.828844
101	200   	0.828581	0.000879576	0.828915
102	200   	0.828392	0.00165925 	0.829621
103	200   	0.829254	0.00131941 	0.829742
104	200   	0.829413	0.00100145 	0.829975
105	200   	0.829689	0.000967239	0.830177
106	200   	0.829957	0.000915018	0.83205 
107	200   	0.831489	0.00196255 	0.832336
108	200   	0.831805	0.00147509 	0.832588
109	200   	0.831931	0.00184879 	0.832672
110	200   	0.832194	0.00175769 	0.832801
111	200   	0.832454	0.00101555 	0.833092
112	200   	0.83253 	0.00178586 	0.833315
113	200   	0.832793	0.00173352 	0.835043
114	200   	0.834655	0.00102091 	0.835219
115	200   	0.83478 	0.00126099 	0.83532 
116	200   	0.835088	0.0007895  	0.835482
117	200   	0.835028	0.00154437 	0.835866
118	200   	0.835516	0.00137573 	0.835932
119	200   	0.835437	0.00130591 	0.836203
120	200   	0.835753	0.00144462 	0.837269
121	200   	0.836845	0.00149508 	0.837491
122	200   	0.837115	0.00107219 	0.837732
123	200   	0.837046	0.00194664 	0.838343
124	200   	0.83786 	0.00148275 	0.838524
125	200   	0.838105	0.00149658 	0.838617
126	200   	0.838167	0.00125392 	0.838789
127	200   	0.838238	0.00180538 	0.839162
128	200   	0.838853	0.000985518	0.839356
129	200   	0.838916	0.00136007 	0.840026
