Execution of the code with theses parameters
On this image bro 5a.png
generations : 500
generations2 :0
population_size :200
seed : 31
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.668774	0.0112802  	0.70807 
1  	197   	0.708145	0.00166319 	0.721389
2  	197   	0.721506	0.00127631 	0.734103
3  	197   	0.734349	0.00187515 	0.750601
4  	197   	0.750645	0.000876671	0.75538 
5  	197   	0.755416	0.000430974	0.759018
6  	197   	0.759077	0.000644072	0.764207
7  	197   	0.764129	0.000628014	0.765265
8  	197   	0.765328	0.000606178	0.771024
9  	197   	0.770868	0.000875759	0.773214
10 	197   	0.773074	0.000694066	0.773974
11 	197   	0.773853	0.000782668	0.776708
12 	197   	0.776699	0.000619888	0.780311
13 	197   	0.780258	0.000413068	0.78354 
14 	197   	0.783427	0.000553547	0.785447
15 	197   	0.785304	0.000815719	0.787661
16 	197   	0.787647	0.000490572	0.790573
17 	197   	0.79045 	0.000785963	0.791534
18 	197   	0.791418	0.000533113	0.794034
19 	197   	0.793755	0.00118569 	0.795232
20 	197   	0.795015	0.000958631	0.796212
21 	197   	0.795932	0.00126561 	0.797606
22 	197   	0.797352	0.000915924	0.798168
23 	197   	0.798048	0.000577424	0.799748
24 	197   	0.799634	0.000520549	0.80037 
25 	197   	0.800283	0.000497234	0.801323
26 	197   	0.801092	0.00123991 	0.801679
27 	197   	0.801445	0.00100339 	0.802748
28 	197   	0.802585	0.000791826	0.803305
29 	197   	0.802963	0.00129009 	0.803862
30 	197   	0.803691	0.000664164	0.804254
31 	197   	0.804132	0.000600521	0.805423
32 	197   	0.805206	0.000900349	0.805977
33 	197   	0.80579 	0.000681568	0.806464
34 	197   	0.806276	0.0013036  	0.807868
35 	197   	0.807744	0.000550481	0.808599
36 	197   	0.808428	0.000713535	0.808886
37 	197   	0.808696	0.000723814	0.809129
38 	197   	0.808927	0.00117197 	0.809908
39 	197   	0.809642	0.00113318 	0.810337
40 	197   	0.81015 	0.000787652	0.811885
41 	197   	0.811612	0.00114237 	0.812395
42 	197   	0.812108	0.0012973  	0.812914
43 	197   	0.812834	0.000481582	0.81467 
44 	197   	0.814328	0.00126866 	0.815922
45 	197   	0.815759	0.00080999 	0.817201
46 	197   	0.816864	0.00130066 	0.817388
47 	197   	0.817239	0.000559896	0.818474
48 	197   	0.818299	0.00062528 	0.81916 
49 	197   	0.818931	0.000836192	0.820035
50 	197   	0.819856	0.000891328	0.820344
51 	197   	0.820156	0.00100487 	0.821518
52 	197   	0.821302	0.00118014 	0.82196 
53 	197   	0.821797	0.00062589 	0.822164
54 	197   	0.821912	0.00113789 	0.822535
55 	197   	0.822384	0.000671552	0.823389
56 	197   	0.823174	0.000864984	0.82433 
57 	197   	0.824163	0.00080785 	0.824675
58 	197   	0.82442 	0.001149   	0.825273
59 	197   	0.825062	0.000883916	0.825684
60 	197   	0.825533	0.000683734	0.826352
61 	197   	0.826124	0.00104584 	0.826894
62 	197   	0.82665 	0.000976459	0.827415
63 	197   	0.827134	0.00137422 	0.831697
64 	197   	0.831522	0.000744631	0.833491
65 	197   	0.833283	0.00075165 	0.834906
66 	197   	0.83475 	0.000707972	0.836383
67 	197   	0.836027	0.00154386 	0.83739 
68 	197   	0.837236	0.00076102 	0.838323
69 	197   	0.838035	0.00135571 	0.841498
70 	197   	0.841385	0.000539816	0.842189
71 	197   	0.841815	0.00146433 	0.842454
72 	197   	0.842335	0.000549415	0.842998
73 	197   	0.84278 	0.00103994 	0.843338
74 	197   	0.843065	0.00119708 	0.843806
75 	197   	0.843629	0.000889183	0.844322
76 	197   	0.844243	0.000542087	0.845089
77 	197   	0.844919	0.000636532	0.845335
78 	197   	0.845188	0.00052239 	0.845736
79 	197   	0.845581	0.000628849	0.846262
80 	197   	0.845982	0.00117728 	0.847407
81 	197   	0.847111	0.00155579 	0.847713
82 	197   	0.847559	0.000590192	0.848185
83 	197   	0.848028	0.00107544 	0.848981
84 	197   	0.84864 	0.00142136 	0.849115
85 	197   	0.848807	0.00122962 	0.850291
86 	197   	0.849943	0.00140804 	0.850669
87 	197   	0.850487	0.000793299	0.851632
88 	197   	0.851279	0.00145916 	0.851983
89 	197   	0.851836	0.000809894	0.852365
90 	197   	0.852088	0.0014496  	0.853001
91 	197   	0.852683	0.00134149 	0.85389 
92 	197   	0.85363 	0.000862491	0.854424
93 	197   	0.854   	0.00165113 	0.855467
94 	197   	0.855303	0.000966906	0.856852
95 	197   	0.856607	0.00127289 	0.85733 
96 	197   	0.857058	0.000906297	0.857751
97 	197   	0.857503	0.00103902 	0.858056
98 	197   	0.857711	0.00134863 	0.85856 
99 	197   	0.858435	0.000518984	0.858957
100	197   	0.858732	0.00103672 	0.859161
101	197   	0.858871	0.0012301  	0.859366
102	197   	0.859102	0.000943214	0.860128
103	197   	0.859915	0.000949632	0.860533
104	197   	0.860265	0.00139821 	0.860882
105	197   	0.860727	0.000567924	0.861153
106	197   	0.860857	0.00133565 	0.861521
107	197   	0.86132 	0.00108132 	0.86183 
108	197   	0.861512	0.00161126 	0.862164
109	197   	0.861923	0.00111245 	0.862798
110	197   	0.862678	0.000446941	0.863225
111	197   	0.862887	0.00149495 	0.864115
112	197   	0.863619	0.00182841 	0.8644  
113	197   	0.864145	0.00124469 	0.865196
114	197   	0.864703	0.00197507 	0.865431
115	197   	0.865133	0.00147167 	0.86584 
116	197   	0.865414	0.0014989  	0.866488
117	197   	0.866007	0.0025811  	0.866925
118	197   	0.866363	0.0020794  	0.867762
119	197   	0.867545	0.00100322 	0.868979
120	197   	0.868699	0.000870488	0.869545
121	197   	0.869167	0.0013804  	0.870067
122	197   	0.869756	0.00128829 	0.870296
123	197   	0.870103	0.00120089 	0.870491
124	197   	0.870326	0.00067266 	0.870847
125	197   	0.870511	0.00115803 	0.871384
126	197   	0.871079	0.00129432 	0.872679
127	197   	0.872104	0.00192364 	0.872969
128	197   	0.872659	0.00161396 	0.874349
129	197   	0.874018	0.00144632 	0.874608
130	197   	0.874338	0.00124438 	0.876471
131	197   	0.876032	0.0015022  	0.876671
132	197   	0.876034	0.00214245 	0.876803
133	197   	0.876496	0.00185073 	0.876948
134	197   	0.876553	0.00172756 	0.877201
135	197   	0.877003	0.000744755	0.87758 
136	197   	0.877299	0.00114981 	0.877752
137	197   	0.877612	0.000595094	0.878022
138	197   	0.877748	0.00108131 	0.878337
139	197   	0.878007	0.00126591 	0.878449
140	197   	0.878145	0.00146125 	0.878797
141	197   	0.878451	0.00130013 	0.87899 
142	197   	0.878678	0.00144615 	0.879083
143	197   	0.878773	0.00137891 	0.879311
144	197   	0.879089	0.000852146	0.879488
145	197   	0.879175	0.00108215 	0.879718
146	197   	0.879368	0.00122217 	0.879821
147	197   	0.879632	0.000927289	0.880124
148	197   	0.879825	0.00130608 	0.880496
149	197   	0.880116	0.00150005 	0.880901
150	197   	0.880525	0.00161649 	0.88132 
151	197   	0.881128	0.000844086	0.881505
152	197   	0.881314	0.000868177	0.881631
153	197   	0.881355	0.00113729 	0.882662
154	197   	0.882317	0.0014482  	0.882906
155	197   	0.882421	0.00171098 	0.883057
