Execution of the code with theses parameters
On this image bro 5b.png
generations : 500
generations2 :0
population_size :200
seed : 69
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.6
shuffle :0.05
remove_poly :0.05
add_poly :0.1
change_cr :0.1
add_pt :0.1
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.599956	0.00972765 	0.629969
1  	197   	0.631098	0.00572705 	0.659262
2  	197   	0.660022	0.00323399 	0.68113 
3  	197   	0.681363	0.00158847 	0.692647
4  	197   	0.692808	0.00158986 	0.704288
5  	197   	0.704306	0.00114492 	0.711073
6  	197   	0.711066	0.000847352	0.716113
7  	197   	0.716088	0.00116667 	0.724477
8  	197   	0.72437 	0.00123376 	0.731454
9  	197   	0.731186	0.001211   	0.732958
10 	197   	0.732555	0.00179943 	0.734583
11 	197   	0.734269	0.00166199 	0.737789
12 	197   	0.737638	0.000929818	0.739796
13 	197   	0.739453	0.0011203  	0.741683
14 	197   	0.741396	0.00107632 	0.744213
15 	197   	0.743824	0.00136102 	0.747355
16 	197   	0.74715 	0.000828604	0.7488  
17 	197   	0.748374	0.00166575 	0.74974 
18 	197   	0.749318	0.00152307 	0.752146
19 	197   	0.751478	0.00224726 	0.754799
20 	197   	0.754314	0.00184908 	0.757249
21 	197   	0.756619	0.00182096 	0.760045
22 	197   	0.759597	0.0016048  	0.761916
23 	197   	0.761593	0.0016074  	0.765231
24 	197   	0.764734	0.00235461 	0.76609 
25 	197   	0.765566	0.00200204 	0.768705
26 	197   	0.768158	0.00215934 	0.770721
27 	197   	0.770012	0.00250153 	0.771592
28 	197   	0.771145	0.00140117 	0.772496
29 	197   	0.772043	0.00170741 	0.773124
30 	197   	0.772615	0.00224857 	0.774076
31 	197   	0.77355 	0.00171412 	0.77549 
32 	197   	0.774861	0.00202977 	0.777873
33 	197   	0.777231	0.00219335 	0.780451
34 	197   	0.780108	0.00130552 	0.783504
35 	197   	0.783047	0.00177571 	0.784611
36 	197   	0.784091	0.00225852 	0.788105
37 	197   	0.787456	0.00215608 	0.791033
38 	197   	0.790218	0.00301878 	0.792378
39 	197   	0.791698	0.00266927 	0.794223
40 	197   	0.79376 	0.00167675 	0.794821
41 	197   	0.794195	0.00190988 	0.796218
42 	197   	0.795643	0.00205044 	0.797373
