Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 21
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.6
shuffle :0.05
remove_poly :0.05
add_poly :0.1
change_cr :0.1
add_pt :0.1
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.656852	0.00848322 	0.691552
1  	197   	0.691734	0.00281869 	0.704522
2  	197   	0.704744	0.00257223 	0.726131
3  	197   	0.72606 	0.00162342 	0.736509
4  	197   	0.736454	0.000931699	0.740965
5  	197   	0.740997	0.000713083	0.748393
6  	197   	0.748299	0.000788551	0.751342
7  	197   	0.751291	0.00051075 	0.754381
8  	197   	0.754346	0.000601292	0.757011
9  	197   	0.756865	0.000618678	0.758127
10 	197   	0.757794	0.00118168 	0.76    
11 	197   	0.759835	0.000724293	0.762015
12 	197   	0.761797	0.000868968	0.763225
13 	197   	0.76304 	0.000676631	0.76568 
14 	197   	0.765441	0.0010124  	0.76795 
15 	197   	0.767736	0.000795949	0.768998
16 	197   	0.768656	0.00128135 	0.769607
17 	197   	0.769314	0.00123174 	0.771394
18 	197   	0.771276	0.000472291	0.772347
19 	197   	0.77215 	0.000724899	0.774543
20 	197   	0.774221	0.00107663 	0.775633
21 	197   	0.775321	0.00116289 	0.776011
22 	197   	0.7759  	0.000429261	0.776955
23 	197   	0.776742	0.00116387 	0.779324
24 	197   	0.77916 	0.000709014	0.78013 
25 	197   	0.779949	0.000835877	0.78144 
26 	197   	0.781202	0.000890647	0.782206
27 	197   	0.782011	0.000897752	0.783442
28 	197   	0.783137	0.00135763 	0.784299
29 	197   	0.784095	0.000843073	0.784828
30 	197   	0.784413	0.00146326 	0.785405
31 	197   	0.785082	0.00123336 	0.786338
32 	197   	0.786151	0.000716514	0.78685 
33 	197   	0.786552	0.000812825	0.787257
34 	197   	0.786917	0.00119681 	0.788087
35 	197   	0.787613	0.00169484 	0.789047
36 	197   	0.788684	0.00108522 	0.789904
37 	197   	0.789673	0.000904008	0.790423
38 	197   	0.790036	0.00127556 	0.790855
39 	197   	0.790627	0.000781782	0.79125 
40 	197   	0.790908	0.00132542 	0.791501
