Execution of the code with theses parameters
On this image bro 5a.png
generations : 500
generations2 :0
population_size :200
seed : 21
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.668533	0.00971905 	0.706042
1  	197   	0.690211	0.00839669 	0.713638
2  	197   	0.707485	0.00412947 	0.733482
3  	197   	0.716236	0.00681025 	0.739296
4  	197   	0.732915	0.00469179 	0.745637
5  	197   	0.740874	0.00290708 	0.74586 
6  	197   	0.746084	0.00251388 	0.771386
7  	197   	0.7529  	0.00761878 	0.777624
8  	197   	0.771202	0.00444153 	0.779276
9  	197   	0.777408	0.00152447 	0.779829
10 	197   	0.779265	0.000666915	0.781369
11 	197   	0.780083	0.000655565	0.782309
12 	197   	0.781378	0.0005948  	0.784227
13 	197   	0.782371	0.000987466	0.78505 
14 	197   	0.784133	0.000980653	0.786974
15 	197   	0.785205	0.000574571	0.787564
16 	197   	0.786701	0.000886282	0.789965
17 	197   	0.787743	0.00110938 	0.791871
18 	197   	0.789946	0.00116268 	0.792908
19 	197   	0.791993	0.000689672	0.793288
20 	197   	0.792959	0.000297222	0.79378 
21 	197   	0.793329	0.000533341	0.794989
22 	197   	0.794027	0.0009406  	0.795708
23 	197   	0.794967	0.000811433	0.79924 
24 	197   	0.795778	0.00099256 	0.800117
25 	197   	0.798238	0.00174309 	0.800299
26 	197   	0.800014	0.000712363	0.801471
27 	197   	0.800438	0.00124365 	0.803099
28 	197   	0.801498	0.0011565  	0.803395
29 	197   	0.802977	0.000480463	0.803654
30 	197   	0.803268	0.000959876	0.804655
31 	197   	0.803922	0.000489532	0.806041
32 	197   	0.804688	0.000888265	0.806226
33 	197   	0.805666	0.000788301	0.80661 
34 	197   	0.806284	0.000319711	0.807499
35 	197   	0.80668 	0.000945663	0.808701
36 	197   	0.807578	0.000867875	0.809463
37 	197   	0.808636	0.000966611	0.810565
38 	197   	0.809526	0.000964316	0.810722
39 	197   	0.810222	0.00100768 	0.811367
40 	197   	0.810692	0.000891372	0.812387
41 	197   	0.811314	0.00131117 	0.812415
42 	197   	0.812116	0.00101839 	0.813851
43 	197   	0.812685	0.00100624 	0.815058
44 	197   	0.81381 	0.00107349 	0.815687
45 	197   	0.814862	0.00118455 	0.816319
46 	197   	0.815514	0.00127959 	0.817043
47 	197   	0.816273	0.00100066 	0.817129
48 	197   	0.816827	0.00115653 	0.818116
49 	197   	0.817202	0.00100918 	0.818772
50 	197   	0.81799 	0.000625701	0.819839
51 	197   	0.818569	0.00158233 	0.822077
52 	197   	0.820037	0.00104668 	0.822566
53 	197   	0.821851	0.00099605 	0.823602
54 	197   	0.822542	0.000951383	0.824702
55 	197   	0.823672	0.00081966 	0.824855
56 	197   	0.824481	0.00112416 	0.828579
57 	197   	0.825644	0.00140446 	0.828588
58 	197   	0.828376	0.000824182	0.82901 
59 	197   	0.82853 	0.000893589	0.830254
60 	197   	0.828992	0.00120101 	0.830345
61 	197   	0.830079	0.000931345	0.831512
62 	197   	0.83041 	0.00149185 	0.832709
63 	197   	0.831564	0.000740295	0.83313 
64 	197   	0.832612	0.000419453	0.833257
65 	197   	0.83288 	0.00118175 	0.83602 
66 	197   	0.833732	0.00107029 	0.83653 
67 	197   	0.835832	0.000931475	0.83809 
68 	197   	0.836671	0.000733536	0.838316
69 	197   	0.837877	0.000745976	0.839043
70 	197   	0.838271	0.00118679 	0.839709
71 	197   	0.838856	0.00108901 	0.841983
72 	197   	0.839761	0.00117128 	0.84218 
73 	197   	0.841552	0.00124736 	0.84302 
74 	197   	0.842073	0.00113906 	0.843302
75 	197   	0.842747	0.00120861 	0.844169
76 	197   	0.843263	0.000650531	0.845695
77 	197   	0.844067	0.00122555 	0.845695
78 	197   	0.845498	0.00046572 	0.846285
79 	197   	0.84574 	0.000600599	0.846929
80 	197   	0.846255	0.00120466 	0.847879
81 	197   	0.846904	0.000904234	0.847897
82 	197   	0.84764 	0.000967963	0.848001
83 	197   	0.847775	0.000895866	0.849224
84 	197   	0.848092	0.000608189	0.849424
85 	197   	0.848923	0.000669924	0.849676
86 	197   	0.849198	0.00118853 	0.850069
87 	197   	0.849578	0.000680455	0.850374
88 	197   	0.849963	0.0010306  	0.851058
89 	197   	0.850354	0.000604728	0.852529
90 	197   	0.851176	0.00135018 	0.852816
91 	197   	0.852367	0.00101251 	0.853193
92 	197   	0.85271 	0.0010167  	0.85374 
93 	197   	0.853004	0.00120908 	0.853818
94 	197   	0.853543	0.000988344	0.85447 
95 	197   	0.853995	0.00035064 	0.855363
96 	197   	0.854525	0.000635786	0.855681
97 	197   	0.855202	0.000697568	0.855693
98 	197   	0.855331	0.00146269 	0.856055
99 	197   	0.855532	0.00107753 	0.856323
100	197   	0.855868	0.000830828	0.856467
101	197   	0.856107	0.00100375 	0.856684
102	197   	0.856257	0.00112258 	0.857397
103	197   	0.856529	0.000968435	0.857536
104	197   	0.857122	0.000848247	0.860326
105	197   	0.85781 	0.00115977 	0.860356
106	197   	0.859809	0.00122207 	0.861077
107	197   	0.860369	0.000832088	0.861635
