Execution of the code with theses parameters
On this image bro 5a.png
generations : 500
generations2 :0
population_size :200
seed : 21
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.668533	0.00971905 	0.706042
1  	197   	0.686032	0.0102733  	0.72274 
2  	197   	0.703619	0.00949261 	0.725145
3  	197   	0.718225	0.00541316 	0.732886
4  	197   	0.725181	0.00374022 	0.75096 
5  	197   	0.73289 	0.0073547  	0.755897
6  	197   	0.746271	0.00698071 	0.756604
7  	197   	0.753917	0.00226869 	0.763166
8  	197   	0.757244	0.00216589 	0.767045
9  	197   	0.76189 	0.00303053 	0.77093 
10 	197   	0.766366	0.00178277 	0.770962
11 	197   	0.768981	0.00197079 	0.778804
12 	197   	0.771415	0.00170753 	0.77889 
13 	197   	0.774442	0.00328764 	0.77911 
14 	197   	0.778766	0.000723619	0.780736
15 	197   	0.779447	0.000919977	0.786687
16 	197   	0.781107	0.00191289 	0.787333
17 	197   	0.784535	0.00213246 	0.787771
18 	197   	0.786844	0.000669271	0.792282
19 	197   	0.787747	0.000907216	0.792375
20 	197   	0.789281	0.00187507 	0.792855
21 	197   	0.79215 	0.000947319	0.794663
22 	197   	0.792946	0.000690486	0.795399
23 	197   	0.79398 	0.00119863 	0.798101
24 	197   	0.795146	0.000977745	0.798101
25 	197   	0.796522	0.00137566 	0.799229
26 	197   	0.798064	0.000830513	0.79988 
27 	197   	0.798718	0.000712699	0.800304
28 	197   	0.799553	0.000717322	0.801827
29 	197   	0.800311	0.000715921	0.802404
30 	197   	0.801299	0.000903227	0.804121
31 	197   	0.802128	0.00119412 	0.804185
32 	197   	0.803277	0.00096123 	0.804886
33 	197   	0.804082	0.000750833	0.806054
34 	197   	0.804754	0.000646577	0.80613 
35 	197   	0.805679	0.000762167	0.807312
36 	197   	0.806244	0.000750904	0.807681
37 	197   	0.80696 	0.000799564	0.807879
38 	197   	0.807422	0.000564782	0.808346
39 	197   	0.80766 	0.00135176 	0.808618
40 	197   	0.808058	0.000753213	0.809398
41 	197   	0.808498	0.00118272 	0.809398
42 	197   	0.808965	0.00108797 	0.810195
43 	197   	0.809402	0.000413498	0.810346
44 	197   	0.809807	0.000594807	0.810766
45 	197   	0.810285	0.000451008	0.811145
46 	197   	0.810624	0.00043508 	0.811593
47 	197   	0.810857	0.000921489	0.811669
48 	197   	0.811385	0.000603378	0.812497
49 	197   	0.811608	0.000740766	0.81269 
50 	197   	0.812153	0.000691261	0.813166
51 	197   	0.812464	0.000852748	0.813827
52 	197   	0.812791	0.0012665  	0.814073
53 	197   	0.813529	0.000764617	0.814372
54 	197   	0.813907	0.000770359	0.815064
55 	197   	0.814279	0.000560266	0.816178
56 	197   	0.814704	0.00100848 	0.816178
57 	197   	0.815206	0.0014892  	0.81668 
58 	197   	0.816038	0.000905582	0.81671 
59 	197   	0.81624 	0.000745033	0.817648
60 	197   	0.816796	0.000411014	0.817654
61 	197   	0.817159	0.000959856	0.818001
62 	197   	0.817636	0.00029802 	0.818229
63 	197   	0.817864	0.000538427	0.819476
64 	197   	0.81823 	0.000409331	0.819482
65 	197   	0.818636	0.00108403 	0.81967 
66 	197   	0.819244	0.00147524 	0.819953
67 	197   	0.81952 	0.000696038	0.820062
68 	197   	0.819815	0.000530022	0.821107
69 	197   	0.820009	0.000863214	0.821196
70 	197   	0.820615	0.00101163 	0.821377
71 	197   	0.821   	0.00098487 	0.821911
72 	197   	0.8212  	0.000735227	0.822314
73 	197   	0.821546	0.00069346 	0.822592
74 	197   	0.821973	0.00110467 	0.82377 
