Execution of the code with theses parameters
On this image bro 5b.png
generations : 500
generations2 :0
population_size :200
seed : 31
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.601485	0.0101803  	0.638509
1  	197   	0.625492	0.00852331 	0.656653
2  	197   	0.642829	0.00795226 	0.66976 
3  	197   	0.659458	0.00601151 	0.678937
4  	197   	0.671207	0.00347604 	0.682355
5  	197   	0.679521	0.00253164 	0.69039 
6  	197   	0.684753	0.00303269 	0.691523
7  	197   	0.690553	0.00122804 	0.699043
8  	197   	0.693956	0.00295345 	0.705354
9  	197   	0.700304	0.0022567  	0.706209
10 	197   	0.705366	0.00199571 	0.727313
11 	197   	0.708676	0.00507596 	0.727418
12 	197   	0.723361	0.00723136 	0.729092
13 	197   	0.728003	0.000873124	0.73137 
14 	197   	0.729511	0.00104222 	0.733661
15 	197   	0.731711	0.00102161 	0.735709
16 	197   	0.733617	0.0013861  	0.736794
17 	197   	0.735737	0.00113407 	0.741457
18 	197   	0.737776	0.00166103 	0.742038
19 	197   	0.741335	0.00072696 	0.742716
20 	197   	0.741831	0.00113314 	0.743423
21 	197   	0.742684	0.0010643  	0.745858
22 	197   	0.743844	0.00151074 	0.746538
23 	197   	0.745691	0.00091096 	0.747272
24 	197   	0.746511	0.000720799	0.748541
25 	197   	0.747389	0.000844244	0.74924 
26 	197   	0.748383	0.000833739	0.751457
27 	197   	0.749409	0.00109578 	0.751649
28 	197   	0.75097 	0.00111888 	0.752855
29 	197   	0.751775	0.00108358 	0.75325 
30 	197   	0.752835	0.000530444	0.754809
31 	197   	0.753627	0.000879117	0.7554  
32 	197   	0.754781	0.0005595  	0.75554 
33 	197   	0.755328	0.000346471	0.755923
34 	197   	0.755517	0.000688902	0.75691 
35 	197   	0.756114	0.000885232	0.756932
36 	197   	0.756749	0.000604724	0.758269
37 	197   	0.757193	0.00205258 	0.769072
38 	197   	0.758893	0.00391893 	0.769526
39 	197   	0.767639	0.00354771 	0.770324
40 	197   	0.769493	0.000558591	0.770324
41 	197   	0.77016 	0.000810087	0.772628
42 	197   	0.770671	0.00135965 	0.775064
43 	197   	0.77264 	0.00125459 	0.77588 
44 	197   	0.774795	0.00133394 	0.77615 
45 	197   	0.775676	0.000815704	0.776956
46 	197   	0.775948	0.00178539 	0.776981
47 	197   	0.776739	0.000752429	0.778503
48 	197   	0.777342	0.000754167	0.77969 
49 	197   	0.778458	0.0012021  	0.781151
50 	197   	0.779535	0.00154236 	0.78234 
51 	197   	0.781113	0.000926584	0.783361
52 	197   	0.782102	0.00138883 	0.783884
53 	197   	0.782993	0.00230752 	0.789374
54 	197   	0.784039	0.00249346 	0.792198
55 	197   	0.788439	0.00297172 	0.795186
56 	197   	0.79177 	0.00216432 	0.795234
57 	197   	0.794613	0.001217   	0.796009
58 	197   	0.795158	0.00184073 	0.796166
59 	197   	0.795893	0.000874918	0.797413
60 	197   	0.796223	0.00156743 	0.798147
61 	197   	0.797131	0.00234957 	0.798354
62 	197   	0.797879	0.00130378 	0.798931
63 	197   	0.79823 	0.00094249 	0.801025
64 	197   	0.798778	0.00150226 	0.801586
65 	197   	0.800522	0.00144251 	0.802699
66 	197   	0.801336	0.00194205 	0.803038
67 	197   	0.802436	0.00103785 	0.803103
68 	197   	0.802727	0.00131858 	0.803971
69 	197   	0.803038	0.00151734 	0.804077
70 	197   	0.803573	0.00158416 	0.805142
71 	197   	0.804099	0.00141023 	0.806068
72 	197   	0.804829	0.00188029 	0.806718
73 	197   	0.805852	0.00148633 	0.809645
74 	197   	0.806779	0.00232647 	0.809687
75 	197   	0.808811	0.00296797 	0.8109  
76 	197   	0.809713	0.0012803  	0.811087
77 	197   	0.810422	0.0022732  	0.812022
