Execution of the code with theses parameters
On this image bro 5b.png
generations : 500
generations2 :0
population_size :200
seed : 21
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.601927	0.00971894 	0.640425
1  	197   	0.633039	0.0078474  	0.650038
2  	197   	0.647402	0.00526343 	0.673301
3  	197   	0.66524 	0.00755566 	0.68027 
4  	197   	0.677161	0.00269211 	0.686153
5  	197   	0.683842	0.00270698 	0.698758
6  	197   	0.692912	0.00427314 	0.702082
7  	197   	0.700365	0.00155593 	0.703828
8  	197   	0.703019	0.00106864 	0.710162
9  	197   	0.707212	0.00220999 	0.713384
10 	197   	0.711849	0.00181615 	0.718697
11 	197   	0.717626	0.00154123 	0.720104
12 	197   	0.719552	0.000991968	0.724194
13 	197   	0.722912	0.00139348 	0.727919
14 	197   	0.725304	0.00179406 	0.729235
15 	197   	0.728505	0.000801951	0.731489
16 	197   	0.73029 	0.000968144	0.734874
17 	197   	0.732884	0.00159798 	0.740737
18 	197   	0.736847	0.0025118  	0.744282
19 	197   	0.742236	0.00207069 	0.746368
20 	197   	0.745274	0.0013586  	0.747383
21 	197   	0.746634	0.00103229 	0.747736
22 	197   	0.747387	0.000772425	0.749779
23 	197   	0.748674	0.0010724  	0.751065
24 	197   	0.750338	0.00113922 	0.756464
25 	197   	0.753823	0.00244864 	0.757065
26 	197   	0.756609	0.000966001	0.757648
27 	197   	0.757146	0.00126244 	0.759519
28 	197   	0.758585	0.00127672 	0.761864
29 	197   	0.760923	0.00104741 	0.762603
30 	197   	0.762145	0.000897606	0.764585
31 	197   	0.763066	0.00134147 	0.765025
32 	197   	0.764625	0.00106023 	0.766089
33 	197   	0.765431	0.000689031	0.766674
34 	197   	0.766405	0.000784065	0.767903
35 	197   	0.767273	0.00151989 	0.771057
36 	197   	0.769281	0.00142267 	0.771723
37 	197   	0.771218	0.00114752 	0.77616 
38 	197   	0.773253	0.0025274  	0.777648
39 	197   	0.776692	0.0013252  	0.778465
40 	197   	0.777757	0.00121217 	0.779223
41 	197   	0.778709	0.00122965 	0.780489
42 	197   	0.77987 	0.00130375 	0.781185
43 	197   	0.780602	0.00132969 	0.782141
44 	197   	0.781331	0.00172079 	0.782599
45 	197   	0.781948	0.00192257 	0.784246
46 	197   	0.782946	0.00176649 	0.784932
47 	197   	0.78452 	0.0010616  	0.78568 
48 	197   	0.785041	0.00158442 	0.787983
49 	197   	0.786329	0.00127447 	0.789144
50 	197   	0.788254	0.00120176 	0.790284
51 	197   	0.789781	0.00122594 	0.790997
52 	197   	0.790527	0.000818356	0.791641
53 	197   	0.791096	0.00135427 	0.79351 
54 	197   	0.792364	0.00154253 	0.794117
55 	197   	0.793848	0.000739465	0.795684
56 	197   	0.794752	0.000730507	0.796452
57 	197   	0.795879	0.000704105	0.796945
58 	197   	0.796387	0.00104699 	0.797426
59 	197   	0.796764	0.00183209 	0.797939
60 	197   	0.797569	0.000980374	0.799078
61 	197   	0.798383	0.00106053 	0.800491
62 	197   	0.799289	0.00225626 	0.802011
63 	197   	0.801073	0.00172292 	0.802702
64 	197   	0.80211 	0.00172253 	0.803   
65 	197   	0.802551	0.00154257 	0.804408
