Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 31
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.655797	0.00850642 	0.686437
1  	197   	0.676501	0.00716748 	0.706245
2  	197   	0.690057	0.00735673 	0.724139
3  	197   	0.708873	0.00748976 	0.724463
4  	197   	0.723857	0.00200115 	0.726023
5  	197   	0.725142	0.000986346	0.730625
6  	197   	0.727919	0.00217176 	0.741676
7  	197   	0.733425	0.00393558 	0.75538 
8  	197   	0.742427	0.00474369 	0.755763
9  	197   	0.754435	0.00341675 	0.757266
10 	197   	0.756154	0.000722382	0.759272
11 	197   	0.757553	0.000768245	0.759952
12 	197   	0.759149	0.000588954	0.76108 
13 	197   	0.760149	0.000565586	0.761878
14 	197   	0.761187	0.000529403	0.765024
15 	197   	0.762033	0.000870611	0.765024
16 	197   	0.764175	0.00123332 	0.766123
17 	197   	0.765334	0.000736233	0.766486
18 	197   	0.766136	0.00040687 	0.767729
19 	197   	0.766585	0.000660028	0.771571
20 	197   	0.767877	0.00129306 	0.77162 
21 	197   	0.771095	0.00129047 	0.773557
22 	197   	0.771864	0.00103136 	0.775505
23 	197   	0.773422	0.00079715 	0.775505
24 	197   	0.774971	0.000985434	0.776964
25 	197   	0.775742	0.000635058	0.777193
26 	197   	0.776856	0.000467924	0.778229
27 	197   	0.777113	0.0012599  	0.778229
28 	197   	0.778001	0.000689018	0.779469
29 	197   	0.778389	0.000919953	0.779703
30 	197   	0.779336	0.000495296	0.780771
31 	197   	0.779741	0.000976865	0.781645
32 	197   	0.78092 	0.000633701	0.782074
33 	197   	0.781603	0.000754207	0.783025
34 	197   	0.782146	0.000517906	0.783859
35 	197   	0.782955	0.00107548 	0.783861
36 	197   	0.78366 	0.000709638	0.78432 
37 	197   	0.783831	0.000574905	0.784747
38 	197   	0.784268	0.000632292	0.785111
39 	197   	0.784614	0.000556395	0.785309
40 	197   	0.784995	0.000679076	0.78559 
41 	197   	0.785226	0.000837095	0.785955
42 	197   	0.785522	0.000770394	0.786412
43 	197   	0.785805	0.00101023 	0.786463
44 	197   	0.786102	0.00138054 	0.786862
45 	197   	0.7864  	0.000617814	0.787479
46 	197   	0.786765	0.000801217	0.787482
47 	197   	0.787225	0.00084966 	0.790071
48 	197   	0.787607	0.00151652 	0.790095
49 	197   	0.78943 	0.00102348 	0.791   
50 	197   	0.790011	0.00119832 	0.79138 
51 	197   	0.790814	0.000790134	0.791827
52 	197   	0.791342	0.000508545	0.792194
53 	197   	0.791721	0.00056293 	0.792753
54 	197   	0.792015	0.000789591	0.792753
55 	197   	0.792432	0.00118611 	0.793212
56 	197   	0.792847	0.000378654	0.793716
57 	197   	0.792947	0.00144544 	0.793879
58 	197   	0.793402	0.00135839 	0.794129
59 	197   	0.793856	0.000639413	0.795001
60 	197   	0.794138	0.000585235	0.795045
61 	197   	0.794829	0.000513214	0.795832
62 	197   	0.795142	0.00065395 	0.796559
63 	197   	0.795802	0.000440842	0.796673
64 	197   	0.79635 	0.000760034	0.797528
65 	197   	0.796731	0.000723447	0.79766 
66 	197   	0.797314	0.000880851	0.797782
67 	197   	0.79754 	0.000553574	0.798406
68 	197   	0.797782	0.000578645	0.799304
69 	197   	0.798413	0.000755134	0.79936 
70 	197   	0.799065	0.00105889 	0.799759
71 	197   	0.799287	0.000881476	0.799984
72 	197   	0.79965 	0.000867095	0.800266
73 	197   	0.799818	0.00107058 	0.801061
74 	197   	0.800139	0.000926521	0.80133 
75 	197   	0.800897	0.000661748	0.801445
76 	197   	0.801126	0.000926972	0.801656
77 	197   	0.801426	0.000381272	0.802803
78 	197   	0.801884	0.000582281	0.803039
79 	197   	0.802662	0.00111943 	0.803595
80 	197   	0.802864	0.00130823 	0.803895
81 	197   	0.803326	0.000834846	0.804083
82 	197   	0.803745	0.000639481	0.804175
83 	197   	0.803898	0.000882912	0.804429
84 	197   	0.804118	0.000638151	0.804817
85 	197   	0.804281	0.000835263	0.804841
86 	197   	0.804543	0.000750627	0.805715
87 	197   	0.804787	0.000551281	0.805715
88 	197   	0.805314	0.00083758 	0.805869
89 	197   	0.805671	0.000667691	0.807469
90 	197   	0.806001	0.000810649	0.807925
91 	197   	0.807272	0.000695815	0.808469
92 	197   	0.807833	0.000773402	0.808535
93 	197   	0.80828 	0.000596879	0.809076
94 	197   	0.80848 	0.00109256 	0.809113
95 	197   	0.808699	0.00122127 	0.809406
96 	197   	0.80896 	0.000875756	0.809406
97 	197   	0.809221	0.000810241	0.809952
98 	197   	0.809385	0.000743716	0.809974
99 	197   	0.809863	0.00027479 	0.810573
100	197   	0.80987 	0.000978003	0.810836
101	197   	0.81036 	0.00112299 	0.810958
102	197   	0.810671	0.000837066	0.811093
103	197   	0.810903	0.000418477	0.813226
104	197   	0.811154	0.00117571 	0.813226
105	197   	0.812856	0.000708911	0.813394
106	197   	0.81299 	0.00120575 	0.813528
107	197   	0.81311 	0.00111083 	0.813655
108	197   	0.81332 	0.0010027  	0.813924
109	197   	0.813593	0.000431352	0.814633
110	197   	0.81379 	0.000741376	0.814674
111	197   	0.814432	0.000462112	0.814919
112	197   	0.814512	0.00100832 	0.814939
113	197   	0.814697	0.000718883	0.81523 
114	197   	0.814668	0.00148847 	0.815664
115	197   	0.815121	0.000477755	0.815774
116	197   	0.815396	0.000828694	0.816013
117	197   	0.815604	0.000913911	0.816258
118	197   	0.815837	0.000835035	0.816698
119	197   	0.81617 	0.000750664	0.816803
120	197   	0.816574	0.00059253 	0.817362
121	197   	0.816597	0.00101494 	0.817406
122	197   	0.817013	0.0011254  	0.817668
123	197   	0.817242	0.00119112 	0.818029
124	197   	0.817449	0.00111982 	0.818088
125	197   	0.817793	0.00071199 	0.8183  
126	197   	0.818071	0.00042209 	0.818333
127	197   	0.818202	0.000417152	0.818552
128	197   	0.818148	0.000965583	0.818769
129	197   	0.818354	0.00105907 	0.819072
130	197   	0.81859 	0.000713785	0.819295
131	197   	0.818884	0.000638561	0.819796
