Execution of the code with theses parameters
On this image bro 5c.png
generations : 500
generations2 :0
population_size :200
seed : 69
polygons :5
mutation_rate :1
mating_prob : 0.05
mutate_pt :0.8
shuffle :0.05
remove_poly :0.02
add_poly :0.05
change_cr :0.03
add_pt :0.05
independance :False
mutate_pt2 :0.8
shuffle2 :0.05
remove_poly20.02
add_poly2 :0.05
change_cr2 :0.03
add_pt2 :0.05
independance2 :FalseWe got theses results 
gen	nevals	avg     	std        	max     
0  	200   	0.654768	0.0081898  	0.680611
1  	197   	0.678434	0.00593414 	0.724588
2  	197   	0.704188	0.0148007  	0.73509 
3  	197   	0.730524	0.00328326 	0.735929
4  	197   	0.735643	0.000555126	0.739822
5  	197   	0.737622	0.00144423 	0.740694
6  	197   	0.740264	0.000753384	0.744799
7  	197   	0.742889	0.00188951 	0.746185
8  	197   	0.745557	0.000712913	0.747365
9  	197   	0.746837	0.000746615	0.748632
10 	197   	0.748089	0.000629091	0.750165
11 	197   	0.749684	0.000835882	0.752872
12 	197   	0.751972	0.00101714 	0.756662
13 	197   	0.754353	0.00148662 	0.75804 
14 	197   	0.757166	0.000789642	0.758554
15 	197   	0.758334	0.000257911	0.759193
16 	197   	0.75886 	0.000624288	0.760862
17 	197   	0.760295	0.000815899	0.76212 
18 	197   	0.76167 	0.000956983	0.765643
19 	197   	0.764126	0.00129198 	0.766658
20 	197   	0.766066	0.000647573	0.768126
21 	197   	0.76746 	0.00101734 	0.769497
22 	197   	0.768794	0.000731935	0.770273
23 	197   	0.769777	0.000651255	0.771313
24 	197   	0.770816	0.000826627	0.772859
25 	197   	0.772116	0.0009061  	0.774174
26 	197   	0.773222	0.00101248 	0.774582
27 	197   	0.774189	0.00122092 	0.775915
28 	197   	0.775077	0.00093919 	0.77611 
29 	197   	0.775786	0.000862316	0.777207
30 	197   	0.776628	0.000566265	0.777578
31 	197   	0.777407	0.00054882 	0.778632
32 	197   	0.778144	0.000860771	0.779676
33 	197   	0.779004	0.00048611 	0.78024 
34 	197   	0.779947	0.00055526 	0.780374
35 	197   	0.78022 	0.000461399	0.780936
36 	197   	0.780579	0.000811266	0.781909
37 	197   	0.781225	0.00108036 	0.782746
38 	197   	0.782277	0.0013112  	0.785689
39 	197   	0.784162	0.00107784 	0.785956
40 	197   	0.785719	0.00070018 	0.786387
41 	197   	0.786018	0.000656635	0.787358
42 	197   	0.786794	0.00153939 	0.787733
43 	197   	0.787491	0.000641755	0.788327
44 	197   	0.787991	0.000457697	0.788614
45 	197   	0.788436	0.000458733	0.789592
46 	197   	0.789041	0.00063416 	0.789909
47 	197   	0.789736	0.000531655	0.790351
48 	197   	0.790053	0.000900695	0.791215
49 	197   	0.79069 	0.000721694	0.792442
50 	197   	0.791641	0.000730106	0.793509
51 	197   	0.79275 	0.0009352  	0.793578
52 	197   	0.793387	0.000607613	0.794216
53 	197   	0.793702	0.000764681	0.794948
54 	197   	0.794387	0.000498791	0.79545 
55 	197   	0.795011	0.000944634	0.795847
56 	197   	0.795464	0.000738903	0.796614
57 	197   	0.79606 	0.000742882	0.797506
58 	197   	0.796775	0.000646689	0.797648
59 	197   	0.797467	0.000503452	0.797907
60 	197   	0.797656	0.000787374	0.798292
61 	197   	0.79795 	0.00113982 	0.798892
62 	197   	0.798498	0.000599107	0.799225
63 	197   	0.798874	0.000718514	0.799317
64 	197   	0.799194	0.00046548 	0.799631
65 	197   	0.799384	0.000713142	0.799816
66 	197   	0.799657	0.000443264	0.800421
67 	197   	0.800043	0.000405055	0.801294
68 	197   	0.800579	0.000796616	0.801491
69 	197   	0.801152	0.000974965	0.801691
70 	197   	0.801444	0.00092226 	0.801796
71 	197   	0.801532	0.000785301	0.802005
72 	197   	0.801756	0.00068885 	0.802977
73 	197   	0.802255	0.000761525	0.803323
74 	197   	0.803014	0.000559703	0.803461
75 	197   	0.80322 	0.000723043	0.8042  
76 	197   	0.803836	0.000399712	0.804679
77 	197   	0.80435 	0.000596311	0.804986
78 	197   	0.804591	0.00101923 	0.805446
79 	197   	0.805035	0.000820586	0.806002
80 	197   	0.805475	0.000924094	0.806332
81 	197   	0.80583 	0.00130165 	0.806492
82 	197   	0.806292	0.000565934	0.807408
83 	197   	0.806787	0.000800729	0.807708
84 	197   	0.807414	0.000712689	0.808573
85 	197   	0.80792 	0.000617967	0.809765
86 	197   	0.80879 	0.00104332 	0.81005 
87 	197   	0.809765	0.000613941	0.810478
88 	197   	0.810061	0.000601815	0.810765
89 	197   	0.810559	0.000448371	0.811073
90 	197   	0.810719	0.000596291	0.81146 
91 	197   	0.811082	0.000908962	0.812359
92 	197   	0.811597	0.00118653 	0.812499
93 	197   	0.812163	0.00122439 	0.812857
94 	197   	0.812535	0.000813443	0.813823
95 	197   	0.813051	0.000837608	0.813869
96 	197   	0.813671	0.000736389	0.814357
97 	197   	0.81409 	0.000460167	0.814668
98 	197   	0.814322	0.000977096	0.814945
99 	197   	0.814607	0.0009523  	0.815378
100	197   	0.814878	0.00116005 	0.815711
101	197   	0.815192	0.00130979 	0.816027
102	197   	0.815665	0.00106042 	0.816527
103	197   	0.816161	0.000589396	0.816839
104	197   	0.816496	0.000949806	0.817091
105	197   	0.816796	0.000820386	0.817683
106	197   	0.817346	0.000472628	0.818189
107	197   	0.817603	0.00106331 	0.818538
108	197   	0.818177	0.000741272	0.819764
109	197   	0.818827	0.000647986	0.819949
110	197   	0.819717	0.000712703	0.822573
111	197   	0.8209  	0.00168726 	0.822827
112	197   	0.822468	0.000787072	0.82306 
113	197   	0.822664	0.00111723 	0.823263
114	197   	0.823024	0.000724282	0.823793
115	197   	0.823444	0.000627831	0.824278
116	197   	0.823807	0.000723392	0.82442 
117	197   	0.82404 	0.00128973 	0.824579
118	197   	0.824254	0.000918027	0.824753
119	197   	0.824493	0.000914344	0.824976
120	197   	0.824645	0.00100733 	0.825248
121	197   	0.824933	0.000571399	0.825371
122	197   	0.824796	0.00174728 	0.825798
123	197   	0.82545 	0.000454168	0.825898
124	197   	0.825638	0.000921881	0.826339
125	197   	0.825878	0.00130891 	0.826489
126	197   	0.826201	0.0010234  	0.826721
127	197   	0.826294	0.000857607	0.826948
128	197   	0.826642	0.000875043	0.82699 
129	197   	0.826701	0.00100952 	0.827437
130	197   	0.82699 	0.00108537 	0.827769
131	197   	0.827331	0.00105953 	0.828904
132	197   	0.828089	0.000765669	0.829133
133	197   	0.828892	0.000750062	0.829257
134	197   	0.829026	0.000705115	0.829349
135	197   	0.829011	0.00149955 	0.830266
136	197   	0.829271	0.00154533 	0.830527
137	197   	0.830181	0.000771394	0.831109
138	197   	0.830447	0.000975814	0.831551
139	197   	0.831097	0.00108691 	0.831653
140	197   	0.831316	0.00127234 	0.831867
141	197   	0.831559	0.000843526	0.832088
142	197   	0.831725	0.00114366 	0.832197
143	197   	0.831939	0.000970551	0.83243 
144	197   	0.832022	0.00137622 	0.83273 
145	197   	0.832271	0.00104757 	0.832795
146	197   	0.83258 	0.000947942	0.833352
147	197   	0.833002	0.000763777	0.833499
148	197   	0.833211	0.000926041	0.833632
149	197   	0.833229	0.00106351 	0.833841
150	197   	0.833531	0.000867443	0.833935
151	197   	0.833546	0.00155409 	0.834711
152	197   	0.833815	0.00180651 	0.834903
153	197   	0.834453	0.0012177  	0.835056
154	197   	0.834758	0.00113295 	0.835396
155	197   	0.834999	0.00107388 	0.835499
156	197   	0.835186	0.00107909 	0.836075
157	197   	0.835486	0.000913185	0.836122
158	197   	0.835841	0.00104688 	0.83625 
159	197   	0.835895	0.00121147 	0.836297
160	197   	0.836042	0.000879849	0.836438
161	197   	0.836195	0.00083004 	0.836608
162	197   	0.836254	0.000947401	0.83681 
163	197   	0.836485	0.00095579 	0.836974
164	197   	0.836598	0.00148842 	0.837057
165	197   	0.83671 	0.00133874 	0.837179
166	197   	0.83697 	0.000650707	0.837695
167	197   	0.837092	0.00107074 	0.837895
168	197   	0.837568	0.000935853	0.838116
169	197   	0.837758	0.000939198	0.838151
170	197   	0.837906	0.000988388	0.838466
171	197   	0.838183	0.000608273	0.838672
172	197   	0.838289	0.00107145 	0.838802
173	197   	0.838512	0.000810968	0.838935
174	197   	0.838687	0.000711985	0.839274
175	197   	0.838708	0.00126797 	0.839389
176	197   	0.839129	0.000774018	0.839579
177	197   	0.839317	0.00065006 	0.839685
178	197   	0.839373	0.000980499	0.839901
179	197   	0.839625	0.000799768	0.839968
180	197   	0.839748	0.000645059	0.840143
181	197   	0.839842	0.000821498	0.840448
182	197   	0.839976	0.00128579 	0.840505
183	197   	0.840217	0.00129822 	0.842214
184	197   	0.840667	0.00153245 	0.842267
185	197   	0.841982	0.00108567 	0.842704
186	197   	0.842262	0.0010336  	0.843125
187	197   	0.842591	0.00155431 	0.843252
188	197   	0.842811	0.00121847 	0.843354
189	197   	0.843033	0.000949116	0.843496
190	197   	0.84303 	0.00139698 	0.843674
191	197   	0.843355	0.00122933 	0.843757
192	197   	0.84357 	0.000803447	0.84406 
193	197   	0.843741	0.000548407	0.844202
194	197   	0.843924	0.000751803	0.844338
195	197   	0.843968	0.00112278 	0.844434
196	197   	0.844083	0.00122809 	0.844597
197	197   	0.844207	0.0011555  	0.84469 
198	197   	0.844409	0.000876041	0.845038
199	197   	0.84456 	0.00113096 	0.845107
200	197   	0.844835	0.000991082	0.845338
201	197   	0.844978	0.000999575	0.845455
202	197   	0.845205	0.00085479 	0.845656
203	197   	0.845339	0.00126494 	0.845743
204	197   	0.845504	0.000805848	0.845842
205	197   	0.845593	0.000681057	0.845925
206	197   	0.845436	0.00168623 	0.846037
207	197   	0.845596	0.00189155 	0.84634 
208	197   	0.845864	0.00133669 	0.846423
209	197   	0.84613 	0.000924156	0.846664
210	197   	0.846384	0.000716047	0.846741
211	197   	0.846423	0.00114575 	0.847699
212	197   	0.846712	0.00131662 	0.847731
213	197   	0.8474  	0.00117176 	0.848083
214	197   	0.84772 	0.000773327	0.848161
215	197   	0.847895	0.000971789	0.848371
216	197   	0.847995	0.000919807	0.848543
217	197   	0.848179	0.0013216  	0.84935 
218	197   	0.848595	0.000737761	0.849393
219	197   	0.849136	0.00110487 	0.849587
220	197   	0.849219	0.00116173 	0.849694
221	197   	0.849283	0.0012597  	0.849893
222	197   	0.849447	0.00154462 	0.850041
223	197   	0.849704	0.00107819 	0.850147
224	197   	0.849907	0.000895484	0.850259
225	197   	0.849907	0.00125499 	0.850569
226	197   	0.850075	0.00139865 	0.850707
227	197   	0.850361	0.000980632	0.850736
228	197   	0.850478	0.000956946	0.850974
229	197   	0.850613	0.000999466	0.851254
230	197   	0.850686	0.00138897 	0.851361
231	197   	0.851093	0.000963091	0.851659
232	197   	0.851256	0.000990994	0.851798
233	197   	0.851103	0.00212371 	0.851876
234	197   	0.851649	0.000714877	0.851897
235	197   	0.851666	0.000880086	0.852044
236	197   	0.851711	0.00116236 	0.852896
237	197   	0.852145	0.00098123 	0.853051
238	197   	0.852591	0.00132856 	0.853133
239	197   	0.85269 	0.00158361 	0.85322 
240	197   	0.852896	0.00117826 	0.853481
241	197   	0.853043	0.00118729 	0.853592
